q,r,grid,cells,pair_ticks,failure_patterns,min_mask,min_mass,min_margin
256,633,61582154190036480,8909,45244101450177630,2476,04871108,3926067067640578,1013608501210494
256,637,2043009854645760,8919,1500986831984640,2456,04871108,130268421434650,34871131799910
256,649,17219654489157120,8941,12651191648025840,2478,1042d088,1096426460594480,196249060823760
256,658,13717351881192960,8933,10078054443325440,2453,0080501f,876575287932090,354835614949830
256,662,96605180269678080,8965,70975048349565360,2464,0080501f,6159363102724450,1619154392928030
256,663,291858550663680,8969,214426971029040,2480,21141284,18539125238732,530687385396
258,443,347475845724527520,8529,255288066226873680,2407,01508125,22151362446425792,5632451226714816
268,416,2444315361808320,8501,1795802054092200,2427,10864540,156130205094880,58941473744160
294,494,127688115915360,8705,93811676999040,2499,32868100,8131523567112,1533521066616
313,339,645171567401481120,8433,474004345076982720,2389,00026097,40977294048984802,883255480118046
318,512,30937006370350080,8789,22729353259572960,2459,08506205,1968538053858486,269871911684298
339,512,65960032449991680,8833,48460408737290550,2459,0080501f,4294667828738316,6723943410547188
360,512,583717101327360,8861,428840971615056,2523,04871108,37203312906732,8940307814676
390,466,4250190144039840,8781,3122592495392832,2457,1a101c10,276633568155674,427154217648102
390,485,1769392463398560,8813,1299966582517680,2476,30249140,113413742894110,67495948734690
390,564,857334492574560,8957,629901311542272,2484,30249140,55981447258168,97493206966344
412,512,60122861436718080,8973,44172270466964640,2463,0280b206,3872927922852814,3503013392854962
416,457,16672419706662720,8877,12249139000467600,2490,1042d088,1059489464833052,58157457831396
416,536,2444315361808320,9021,1795952393318160,2492,12848902,155488690756938,18526070453814
422,512,123164308380072960,8997,90488202900355260,2477,12848902,7833234708699842,836553127798206
427,512,35606743180968960,8997,26160056214589440,2501,00026097,2263303719301164,161161592097492
437,512,13425493330529280,8993,9863624079339030,2493,12848902,853681720739146,79975084449078
455,512,583717101327360,9053,428853380567040,2506,12848902,37151073853046,5649247432458
471,512,91643584908395520,9097,67330019527000230,2504,12848902,5879911296117742,3860072021835666
479,512,279600491535805440,9113,205420699491257250,2502,04871108,17879488789693544,8005827607471512
488,516,47846561149427040,9125,35152017135515280,2479,1042d088,3054112580352458,1022847964496694
494,512,583717101327360,9141,428851873406880,2499,12848902,37359955739464,18808806276792
512,567,5253453911946240,9291,3859680425103360,2547,12848902,334258806956620,44489190482100
512,594,1751151303982080,9301,1286564372025660,2560,0070ac01,112595245753048,88895266513704
512,643,375330096153492480,9441,275752746971391690,2536,1042d088,24001484626944484,10773146883532572
512,648,5253453911946240,9437,3859742469863280,2526,00026097,334201644199906,40887936809118
520,548,2499038840057760,9189,1836002763113904,2476,10864540,160065567846416,87975414093168
