q,r,ordinal,body_hex,truncated_mass,scaled_ticks
50,589,367,010f6401,462523758835364,17829477968410332
50,589,368,010f6402,488223797170256,19448580383508528
50,589,369,010f6404,470968714854284,18361510197602292
50,589,370,010f6420,484127230505696,19190496683641248
50,589,371,010f6500,490303252449346,19579586066091198
50,589,372,010fc402,456871212600464,17473367555611632
50,589,373,010fc440,512331374856684,20967357777753492
50,589,374,010fd001,463016916043652,17860546872532476
50,589,375,010fd002,446544364623804,16822776133082052
50,589,376,010fd400,473789618479734,18539227126005642
50,589,377,010fe400,493815989168824,19800888479418312
50,589,378,01107407,452534300509044,17200142093852172
50,589,379,0110740d,478694543143830,18848237379843690
50,589,380,01107415,466618514213124,18087447557209212
50,589,381,01107425,487449252013464,19399784038630632
50,589,382,01107445,469354388046414,18259807608706482
50,589,383,01107485,449445032088156,17005518183336228
50,589,384,01107505,460861725923196,17724769894943748
50,589,385,01107605,436320511876990,16178673410032770
50,589,386,01107606,471367932894196,18386660934116748
50,589,387,01107c05,463558445701416,17894663240971608
50,589,388,0110e40b,507280503222168,20649152864778984
50,589,389,0110e40d,513466708872780,21038883820767540
50,589,390,0110e60a,478004116800860,18804740520236580
50,589,391,0110f403,448436052452544,16941952466292672
50,589,392,0110f405,458868008714076,17599165710769188
50,589,393,0110f411,472867811870844,18481153309645572
50,589,394,0110f421,478168993676244,18815127763385772
50,589,395,0110f601,462267502576022,17813333824071786
50,589,396,01117405,453087479145470,17234992347947010
50,589,397,0111e403,476157921649124,18688430225677212
50,589,398,0111e405,471080382580340,18368545264343820
50,589,399,0111f401,475498556088842,18646890195379446
50,589,400,01127405,476946616478826,18738117999948438
50,589,401,01144487,461847376390314,17786865874372182
50,589,402,0114448e,478987292462034,18866680586890542
50,589,403,011444a3,453917257862154,17287268407098102
50,589,404,011444aa,466579338241014,18084979470966282
50,589,405,01144583,445127746254804,16733529175835052
50,589,406,0114458a,459537946627284,17641371799301292
50,589,407,01144686,478382069893922,18828551565099486
50,589,408,01144c07,484710308513238,19227230598116394
50,589,409,01144c0e,504120646211058,20450081873079054
50,589,410,01144c23,474979910660478,18614215533392514
50,589,411,01144c2a,487508178218538,19403496389550294
50,589,412,01144d03,472203948243348,18439329901113324
50,589,413,01144d0a,478305938675568,18823755298343184
50,589,414,01144e06,500950732140946,20250377286661998
50,589,415,01145407,445380927313896,16749479582557848
50,589,416,01145415,470543133613986,18334698579463518
50,589,417,01145423,436155812087496,16168297323294648
50,589,418,01145431,473189742611946,18501434946334998
50,589,419,01145503,427588389757986,15628549716535518
50,589,420,01145511,469503918493926,18269228026899738
50,589,421,01145606,447289586989184,16869725142100992
50,589,422,0114624a,472452343930892,18454978829428596
50,589,423,01146407,444729703490622,16708452481691586
50,589,424,0114640b,465731253021972,18031550102166636
50,589,425,01146413,478535521916952,18838219042550376
50,589,426,01146423,437441616170682,16249302980535366
50,589,427,01146443,468077350611492,18179354250306396
50,589,428,01146483,446515204416498,16820939040021774
50,589,429,0114648a,465890494177368,18041582294956584
50,589,430,01146503,432012326688672,15907257743168736
50,589,431,01146603,423880464746462,15394950440809506
50,589,432,01146606,461736065586262,17779853293716906
50,589,433,0114660a,441229403041992,16487933553427896
50,589,434,01146612,491158635383542,19633475190945546
50,589,435,01146622,457184118928902,17493080654303226
50,589,436,01146642,479957105529772,18927778810158036
50,589,437,01146682,478046391563678,18807403830294114
50,589,438,01146702,447330067831722,16872275435180886
50,589,439,01146c03,464697413460522,17966418209795286
50,589,440,01146c0a,481534655953692,19027164486864996
50,589,441,01146e02,489313501745602,19517231771755326
50,589,442,01147403,426047944775544,15531501682641672
50,589,443,01147405,431244863544696,15858907565098248
50,589,444,01147409,475541592207162,18649601470833606
50,589,445,01147411,447708427050354,16896112065954702
50,589,446,01147421,439719838107684,16392830962566492
50,589,447,01147441,467558121387144,18146642809172472
50,589,448,01147481,447735233622768,16897800880016784
50,589,449,01147501,447987316194978,16913682082066014
50,589,450,01147601,419341093648522,15108970061639286
50,589,451,01147602,432294348885184,15925025141548992
50,589,452,01147604,428336854907596,15675703020960948
50,589,453,01147608,436238813198906,16173526393313478
50,589,454,01147610,452073544185144,17171114445446472
50,589,455,01147c01,463621793743608,17898654167629704
50,589,456,01147c02,469585309536414,18274355662576482
50,589,457,01147c04,476973178440822,18739791403554186
50,589,458,0114c483,466122792605406,18056217095922978
50,589,459,0114c48a,473395098501360,18514372367368080
50,589,460,0114c491,498775488449016,20113336934070408
50,589,461,0114c498,513258852623550,21025788877066050
50,589,462,0114cc03,490773478112046,19609210282841298
50,589,463,0114cc0a,498306157964700,20083769113558500
50,589,464,0114cc11,524693097305976,21746146292058888
50,589,465,0114cc18,539436835437210,22675001794326630
50,589,466,0114d403,444482572073796,16692883202431548
50,589,467,0114d411,481516502598246,19026020825471898
50,589,468,0114e20a,461487758520398,17764209948567474
50,589,469,0114e20c,458560338147904,17579782465100352
50,589,470,0114e403,443101597999134,16605881835727842
50,589,471,0114e405,451162562101386,17113722574169718
50,589,472,0114e411,461085878261964,17738891492286132
50,589,473,0114e602,453359691693174,17252141738452362
50,589,474,0114e604,457649274046346,17522385426702198
50,589,475,0114e610,464989083019754,17984793392026902
50,589,476,0114f401,458785280097048,17593953807896424
50,589,477,01156403,448443162502082,16942400399413566
50,589,478,01156602,487578894408702,19407951509530626
50,589,479,01157401,443291288507192,16617832337735496
50,589,480,01164407,457244554418502,17496888090148026
50,589,481,0116440e,468307234418214,18193836930129882
50,589,482,01164423,450336405308382,17061674696210466
