LRC14_SIGNATURE372_DETACHED_LITERAL_AUDIT_V1
JOINT 421 FNV 20d63dd42fe8150e FIBRE 54 FNV 47ab2af18f07ff59 WITNESS 4 FNV 2f59f31ad0512a75
DELETE_INDICES 20 50 399 401 DELETE_MASKS 19801c80 19104884 3880b200 118c0540 APPEND 19801608 11842450 01180c85 11803211
REBUILT 421 FNV f63671c303bbafe4 BODY_UNIVERSE 14307150 CHECKS 406361173 MAX_PREFIX 421 FAILURES 0 ROW_FNV 7239db05659ba187
PAIR 186,606 GRID 57113070132998880 CELLS 8701 FAILURE_CLASSES 2413 PAIR_TICKS 41965090177570560 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 502838938754334 MIN_MASK 30960500 MAX_MARGIN 60354952807519566 LEDGER_FNV 3e36b326058947b
PAIR 249,372 GRID 46934503178603040 CELLS 8349 FAILURE_CLASSES 2412 PAIR_TICKS 34482957466917960 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 2164125104907570 MIN_MASK 082022c9 MAX_MARGIN 44356621118238072 LEDGER_FNV 1593132f6b34d77
PAIR 256,351 GRID 875575651991040 CELLS 8341 FAILURE_CLASSES 2425 PAIR_TICKS 643280667434790 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 3373340262894 MIN_MASK 010d1209 MAX_MARGIN 528992874215064 LEDGER_FNV 642e82fc8b9147c3
PAIR 318,372 GRID 29970224921276640 CELLS 8485 FAILURE_CLASSES 2422 PAIR_TICKS 22018382355649680 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 766620043697592 MIN_MASK 21948006 MAX_MARGIN 31042646736757614 LEDGER_FNV a550701ff107f100
PAIR 349,372 GRID 197351103726897120 CELLS 8549 FAILURE_CLASSES 2451 PAIR_TICKS 144992678658467640 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 3513041825584662 MIN_MASK 21948006 MAX_MARGIN 185587475126712624 LEDGER_FNV 6e7036ca73b067c2
PAIR 372,443 GRID 250505842266519840 CELLS 8737 FAILURE_CLASSES 2474 PAIR_TICKS 184045263715873560 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 9268600486866588 MIN_MASK 21b40108 MAX_MARGIN 213189898998426588 LEDGER_FNV cb167949f07cd069
PAIR 372,544 GRID 1130951883821760 CELLS 8941 FAILURE_CLASSES 2471 PAIR_TICKS 830918023615680 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 1179260352270 MIN_MASK 10864540 MAX_MARGIN 1169784675189144 LEDGER_FNV cb17e480905cf0b2
PAIR 372,619 GRID 350029608042834720 CELLS 9089 FAILURE_CLASSES 2494 PAIR_TICKS 257164516923514200 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 1138858598168424 MIN_MASK 390084c0 MAX_MARGIN 295514139148572960 LEDGER_FNV 1d1d72366da3fe13
PAIR 372,636 GRID 29970224921276640 CELLS 9101 FAILURE_CLASSES 2503 PAIR_TICKS 22014473535774720 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 10382682544542 MIN_MASK 18402a88 MAX_MARGIN 28937915664304626 LEDGER_FNV a72d12f43e0f735e
ACTIVITY PAIRS 54 MASKS_PER_PAIR 421 TESTS 22734 TOTAL_CELLS 435652 TOTAL_FAILURE_CLASSES 127144 EQUALITIES 0 AGGREGATE_FNV e00f64d1ceceb6c8
WEAKEST PAIR 372,636 MASK 18402a88 MARGIN_NUM 10382682544542 MARGIN_DEN 29970224921276640
VERDICT PASS DETACHED_EXACT_54_ROW_COMMON_DECK_SURGERY
SCOPE LITERAL_ACTIVITY_AND_EXHAUSTIVE_BODY_SCAN_FIXED_POOL_NO_PHYSICAL_ENTRY_NO_LRC14
