q,r,tests,first_inactive_mask,literal_mass,literal_margin,literal_grid,primary_margin,primary_den
3,129,3,2a904060,48178337208650,-102244175489610,784369854908640,-4294255370563620,32943533906162880
3,130,1,0a10d120,1135504483322,-1427855216634,18241159416480,-7796089482821640,99596730413980800
3,135,20,1804aa01,3462819910732,-736258621644,54723478249440,-463842931635720,34475791297147200
3,136,32,32a40801,1123097656824,-2209485286008,18241159416480,-12620579953677696,104193502586933760
3,140,1,0a10d120,1156823860778,-84734436906,18241159416480,-498238489007280,107258017368902400
3,141,75,0840e805,53359110179694,-67714028977518,857334492574560,-2843989217055756,36008048688131520
3,142,132,30700448,80949191630414,-80690201564238,1295122318570080,-6777976931395992,108790274759886720
3,144,32,32a40801,1122583891884,-2241852477228,18241159416480,-4519574594091648,36774177383623680
3,146,19,2c120091,84481093734854,-4109644316358,1331604637403040,-345210122574072,111854789541855360
3,147,13,12904122,7850128442188,-16194371803596,127688115915360,-4761145310257224,37540306079115840
3,148,3,2a904060,41575252813870,-80450666365230,674922898409760,-13515711949358640,113387046932839680
3,150,43,38060490,5492589207872,-18790068233664,91205797082400,-7891828658138880,38306434774608000
3,151,3,2a904060,170443476440878,-279721271778606,2754415071888480,-11748293414701452,115685433019316160
3,153,20,1804aa01,1126391929338,-2001946117626,18241159416480,-4288168583954892,39072563470100160
