HUNT R=128 gamma* floor profile, d[0]=76 d[-1]=152 eff=0.597938
PHASE beam400: R=128 beam=400 ctrl=2 span=2 rank=l1deg dedup=999 (deterministic)
  row   0: kept=    4 bestdeg=126 top5L1=[168924678844171432443777716099766351655, 168957397221609675774455060433875826471, 168966083898817024766813263311327000363, 168976833162649697530245581958406534953] t=    0.0s
  row  40: kept=  400 bestdeg= 99 top5L1=[70754546796566328527, 70754546796566328913, 70754546800980725591, 70754546800980725977, 72006755117582237447] t=   50.9s
  row  41: kept=  400 bestdeg=100 top5L1=[72261237004374994492, 72280579037819176674, 75076098133561647276, 75095440167005829458, 94590891743807464208] t=   53.2s
  row  42: kept=  400 bestdeg=100 top5L1=[121645145486120060967, 135146504791634443125, 167441031672598466437, 219218204137150183131, 219218204304572372571] t=   55.1s
  row  43: kept=  400 bestdeg=101 top5L1=[95331218014711223940, 95331218014844584744, 107309241182295136760, 107309241182412165460, 132675575251143974372] t=   57.3s
  row  44: kept=  400 bestdeg=101 top5L1=[33611830593212109057, 33611830593212149863, 42989207631165925965, 42989207798588115405, 43148796063291026607] t=   59.7s
  row  45: kept=  400 bestdeg=102 top5L1=[8627408510337402484, 8627408510337423090, 9811874542818721078, 9811874710240910518, 10071792729965812636] t=   61.4s
  row  46: kept=  400 bestdeg=103 top5L1=[5363212171892629655, 5363212172008971555, 5380939992908565455, 5380939993024907355, 5664802829291785319] t=   62.9s
  row  47: kept=  400 bestdeg=103 top5L1=[1161430944701884538, 1161430944818226438, 1371953748829442046, 1371953748878416946, 1516212217826464338] t=   64.5s
  row  48: kept=  400 bestdeg=104 top5L1=[1153024952693138161, 1153025911651899361, 1244748612067730157, 1244749571026491357, 1344576509963392881] t=   65.9s
  row  49: kept=  400 bestdeg=104 top5L1=[556069008701595570, 556069543158437470, 583286428562517580, 583289422262188380, 647508900378937470] t=   67.5s
  row  50: kept=  400 bestdeg=105 top5L1=[380696936964063263, 380714939637353263, 482233011608256547, 482251014281546547, 582189882225133873] t=   69.0s
  row  51: kept=  400 bestdeg=106 top5L1=[37202761431007924, 45353599365631264, 103962010079184100, 120513814175039920, 130738477518423628] t=   70.3s
  row  52: kept=  400 bestdeg=106 top5L1=[83644193693953773, 83644193862314849, 88263153262202733, 88263153430563809, 89524274568490737] t=   71.7s
  row  53: kept=  400 bestdeg=107 top5L1=[31777798203346814, 31777798371707890, 38206392997699450, 38206393166060526, 39249527612747774] t=   73.4s
  row  54: kept=  400 bestdeg=107 top5L1=[384035877762429, 384035878719695, 417850567543685, 417850568621071, 1554353907460605] t=   75.3s
  row  55: kept=  400 bestdeg=108 top5L1=[360418546873960, 360418552444670, 418170878819168, 418170884389878, 518145201252544] t=   76.9s
  row  56: kept=  400 bestdeg=109 top5L1=[563956921154911, 563956937325921, 577757190498651, 577757206669661, 735586329925471] t=   78.9s
  row  57: kept=  400 bestdeg=109 top5L1=[216486212983996, 216486218636498, 221969067680826, 221969073333328, 248098337242568] t=   80.7s
  row  58: kept=  400 bestdeg=110 top5L1=[315482699587199, 315482699635599, 315482794106041, 315482794154441, 316565009099571] t=   82.6s
  row  59: kept=  400 bestdeg=110 top5L1=[221493371812652, 221493398796754, 231726299406644, 231726326390746, 241951318453092] t=   84.5s
    [checkpoint written at row 59]
  row  60: kept=  400 bestdeg=111 top5L1=[303867711584659, 303868014360981, 319627460416911, 319627763193233, 383961435677587] t=   86.6s
  row  61: kept=  400 bestdeg=112 top5L1=[311169142151500, 311169799338318, 327994912136528, 327995569323346, 360075971359380] t=   88.6s
  row  62: kept=  400 bestdeg=112 top5L1=[175275661479055, 175275873240057, 194600554909715, 194601040544317, 203793911148273] t=   90.6s
  row  63: kept=  400 bestdeg=113 top5L1=[232134168304256, 232136267666974, 235664426460714, 235666278386216, 239478413322282] t=   92.5s
  row  64: kept=  400 bestdeg=113 top5L1=[119439717449615, 119442260680593, 130881678034319, 130884221265297, 137392722356107] t=   94.3s
  row  65: kept=  400 bestdeg=114 top5L1=[142722143679792, 142726771569970, 161866498657588, 161871126547766, 184675999157040] t=   96.1s
  row  66: kept=  400 bestdeg=115 top5L1=[171419266638369, 171427341165091, 191822097197597, 191830171724319, 207493858204349] t=   98.0s
  row  67: kept=  400 bestdeg=115 top5L1=[46932577785880, 46940267763558, 65804463076864, 65814309791502, 132721591624010] t=   99.8s
  row  68: kept=  400 bestdeg=116 top5L1=[94762003841679, 94762003895039, 94779286134973, 94779286188333, 116473869931497] t=  101.6s
  row  69: kept=  400 bestdeg=116 top5L1=[31155769011290, 31155769011292, 31155769037970, 31155769037972, 31161096848488] t=  103.4s
  row  70: kept=  400 bestdeg=117 top5L1=[44022610629205, 44022610629207, 44022610682565, 44022610682567, 44032663613185] t=  105.2s
  row  71: kept=  400 bestdeg=117 top5L1=[32077389408984, 32077389436128, 32088026443082, 32088026443084, 32088026470226] t=  107.2s
