q,r,tests,first_inactive_mask,margin_num,den
3,61,197,08c42c01,-388306633793148,46733850425021760
3,62,20,1804aa01,-1052119241344080,47499979120513920
3,64,17,0c82044a,-5685500260270656,49032236511498240
3,65,80,08940509,-5418229792772160,49798365206990400
3,68,130,30700448,-1112274248825376,52096751293466880
3,69,13,12904122,-2645362155292920,17620959996319680
3,70,4,09034019,-2842129475834040,53629008684451200
3,71,147,28144428,-3019333037201460,54395137379943360
3,72,1,0a10d120,-1678194544636512,18387088691811840
3,73,32,32a40801,-1749575838776220,55927394770927680
3,74,24,10740051,-5615775945515736,56693523466419840
3,75,3,2a904060,-1182355822806480,19153217387304000
3,76,37,10864540,-2009405784518496,58225780857404160
3,77,147,28144428,-2832732294125580,58991909552896320
3,78,24,10740051,-2548154361641616,19919346082796160
3,79,21,19801c80,-235941327182232,60524166943880640
3,81,20,1804aa01,-564564028182336,20685474778288320
3,82,4,09034019,-6682736209579920,62822553030357120
3,83,1,0a10d120,-3490671748694256,63588681725849280
3,86,13,12904122,-3849873498639000,65887067812325760
3,87,75,21948006,-1542844314819612,22217732169272640
3,89,41,0a204449,-319522539284928,68185453898802240
3,91,255,32260808,-908082326943792,69717711289786560
3,92,13,12904122,-5521355831511072,70483839985278720
3,93,93,30168440,-511794367271460,23749989560256960
3,94,24,10740051,-7210138762453536,72016097376263040
3,96,1,0a10d120,-5675834432346624,24516118255749120
3,98,22,0202a129,-6107115284753112,75080612158231680
3,100,3,2a904060,-13304450900487600,76612869549216000
3,103,75,21948006,-2896930159404876,78911255635692480
3,104,24,10740051,-14326466065382016,79677384331184640
3,105,3,2a904060,-2255518940819760,26814504342225600
3,106,74,0840e805,-5961599305695432,81209641722168960
3,108,39,0090c4a4,-1187759549838960,27580633037717760
3,109,422,38120016,-514193567479704,83508027808645440
3,110,1,0a10d120,-20366613958272120,84274156504137600
3,111,32,32a40801,-838418739831036,28346761733209920
3,112,3,2a904060,-1466106075096768,85806413895121920
3,114,17,0c82044a,-3609374861616048,29112890428702080
3,115,263,20820649,-2305955373785280,88104799981598400
3,116,14,2188042c,-494632047843360,88870928677090560
3,117,24,10740051,-3499419421333836,29879019124194240
3,118,147,28144428,-259871708698056,90403186068074880
3,122,32,32a40801,-3650488582569192,93467700850043520
3,123,25,0812412c,-3850899152198112,31411276515178560
3,124,147,28144428,-952915696466832,94999958241027840
3,127,43,38060490,-2147391161422416,97298344327504320
3,128,1,0a10d120,-14794753030698816,98064473022996480
3,129,3,2a904060,-4294255370563620,32943533906162880
3,130,1,0a10d120,-7796089482821640,99596730413980800
3,133,422,38120016,-826209371684340,101895116500457280
3,134,420,108c1112,-1107738562255416,102661245195949440
3,135,20,1804aa01,-463842931635720,34475791297147200
3,136,32,32a40801,-12620579953677696,104193502586933760
3,140,1,0a10d120,-498238489007280,107258017368902400
3,141,74,0840e805,-2843989217055756,36008048688131520
3,142,130,30700448,-6777976931395992,108790274759886720
3,144,32,32a40801,-4519574594091648,36774177383623680
3,146,19,2c120091,-345210122574072,111854789541855360
3,147,13,12904122,-4761145310257224,37540306079115840
3,148,3,2a904060,-13515711949358640,113387046932839680
3,150,43,38060490,-7891828658138880,38306434774608000
3,151,3,2a904060,-11748293414701452,115685433019316160
