a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9	mass	margin_ticks63
0000000000800802	0000000000000000	3	1	0822a6c0	9	0	1	216221481801608	123495385306104
0000000000800c20	0000000000000000	4	4	0832aa80	9	0	4	214327757926798	4190781193074
0000000000802000	0000000000000000	2	110	1010c097	9	0	110	215808936868242	97505054504046
0000000000802040	0000000000000000	3	5	103284c1	9	0	5	218153651959760	245222105269680
0000000000802240	0000000000000000	4	4	181284c1	9	0	4	216199457563970	122107858334910
0000000000802840	0000000000000000	4	1	183284c0	9	0	1	217493197222590	203613456827970
0000000000882000	0000000000000000	3	128	0010c1a7	9	0	128	215906143057792	103629044445696
000000000088a040	0000000000000000	5	10	003286c1	9	0	10	216438047422638	137139019430994
000000000088a840	0000000000000000	6	2	083286c0	9	0	2	215245034268248	61979190704424
00000000008aa240	0000000000000000	7	3	081286c1	9	0	3	217773863050928	221295404013264
0000000000a00000	0000000000000000	2	4859	0008e443	8	315	4544	214648572837722	24402120581286
0000000000a01000	0000000000000000	3	942	0010e443	8	35	907	215630182523282	86243530771566
0000000000a01010	0000000000000000	4	4	0020e447	9	0	4	214391338171752	8196336625176
0000000000a01800	0000000000000000	4	6	0832a640	9	0	6	217307596108718	191920586654034
0000000000a03000	0000000000000000	4	218	1012c441	8	2	216	214913012453020	41061816345060
0000000000a03040	0000000000000000	5	7	10308127	9	0	7	214674621020542	26043156098946
0000000000a83000	0000000000000000	5	204	0030c443	8	4	200	214433981160792	10882844934696
0000000000a8b040	0000000000000000	7	7	00318325	9	0	7	215191839420052	58627915268076
0000000000aab240	0000000000000000	9	1	08138641	9	0	1	214821051783418	35268294160134
0000000000c00000	0000000000000000	2	204	002ac4c0	8	2	202	214760471161330	31451714968590
0000000000c00080	0000000000000000	3	76	000a4297	9	0	76	218191771968834	247623665841342
0000000000c06008	0000000000000000	5	7	1022c4c1	9	0	7	216416602172490	135787968671670
0000000000c86008	0000000000000000	6	13	0022c4c3	9	0	13	214886201162220	39372705024660
