q,r,body_hex,witness_hex,witness_rank
100,626,24f02401,18068a88,9
100,626,2510b088,18444816,9
100,626,2510b402,10864029,8
100,626,2510b404,10864029,8
100,626,2510b408,18444816,9
100,626,2510b410,10864029,8
100,626,25141608,1a40e001,8
100,626,2514b400,0802023f,9
100,626,25246401,0250812c,8
100,626,2530a402,10864029,8
100,626,2530e002,124c1480,8
100,626,25344088,02408327,9
100,626,2534c080,0802023f,9
100,626,25541208,1822a4c0,9
100,626,25541404,12a8800a,8
100,626,25541600,12a8800a,8
100,626,2560c401,10923282,9
100,626,25644401,10923282,9
100,626,25704408,1284a120,8
100,626,2570c002,1a0e2400,8
100,626,25744001,02882682,8
100,626,2590b008,18444816,9
100,626,25b42001,12488488,8
100,626,2630e008,19c41004,8
100,626,26f02001,18068a88,9
100,626,2700d401,08432a80,8
100,626,2700f001,105d0408,8
100,626,27045088,10d88401,8
100,626,27049088,10986c00,8
100,626,27244088,10d88401,8
100,626,27264400,08412a89,9
100,626,27441408,088262c4,9
100,626,2762c000,1014240d,8
100,626,27704001,18068a88,9
100,626,27704008,0080aec1,9
100,626,27849008,08432a80,8
100,626,27869000,08412a89,9
100,626,27881081,18444816,9
100,626,27c09001,101c401a,8
100,626,27d04008,1822a4c0,9
100,626,2914900a,00c045d4,9
100,626,29941208,0648a801,8
100,626,31103601,06cc4002,8
100,626,31302601,06cc4002,8
100,626,31306401,0c038a88,9
100,626,3130a401,06cc4002,8
100,626,3130d080,0802023f,9
100,626,3130d200,0c422096,9
100,626,3130e001,0e0a1c00,8
100,626,31312401,06cc4002,8
100,626,3160c600,04981888,8
100,626,3160cc00,0802023f,9
100,626,31704401,0c038a88,9
100,626,3170c400,0802023f,9
100,626,3190b001,06414448,8
100,626,3190b008,0c430a81,9
100,626,31929008,04612216,9
100,626,31b02401,0c038a88,9
100,626,31d09001,0e232400,8
100,626,31d09008,0e232400,8
100,626,33304081,004c3216,9
100,626,33306001,0c038a88,9
100,626,33308088,004c3216,9
100,626,33604408,04818325,9
100,626,3370c000,0802023f,9
100,626,33901081,04612216,9
100,626,33903001,0c038a88,9
100,626,33b02001,0c038a88,9
100,626,33c81008,04346082,8
100,626,33d01008,040ca4c0,8
