a_hex	b_hex	cover	count	least_mask	least_rank
0000001041000000	0000000000000000	3	1	280c8a81	9
0000001041000420	0000000000000000	5	4	28089a81	9
0000001041400000	0000000000000000	4	1	284c8881	9
0000001050000000	0000000000000000	3	2	282c0a81	9
0000001050000424	0000000000000000	6	2	28281a81	9
0000001051000000	0000000000000000	4	6	280c0a83	9
0000001051000424	0000000000000000	7	8	28081a83	9
0000001c00000000	0000000000000000	3	1	29a41880	9
0000001c00000600	0000000000000000	5	2	29a018c0	9
0000001c01900601	0000000000000000	9	1	29881a80	9
0000001c01d00000	0000000000000000	7	2	29849880	9
0000001c01d00601	0000000000000000	10	2	29889880	9
0000001e00080000	0000000000000000	5	1	29ac0880	9
0000001e00080600	0000000000000000	7	1	29a80a80	9
0000001e01980000	0000000000000000	8	1	298c0a80	9
0000001e01980601	0000000000000000	11	5	29880a82	9
0000001e01d80000	0000000000000000	9	6	298c0882	9
0000001e01d80601	0000000000000000	12	1	29c88880	9
0000002000000000	0000000000000000	1	29	28880a49	9
0000002800000000	0000000000000000	2	1	29a41808	9
0000002800000200	0000000000000000	3	2	29a01848	9
0000002800800000	0000000000000000	3	2	29849808	9
0000002800800201	0000000000000000	5	4	2988180a	9
0000002820000000	0000000000000000	3	1	28ac1808	9
0000002a00080000	0000000000000000	4	1	29ac0808	9
0000002a00080200	0000000000000000	5	2	29a80848	9
0000002a00880000	0000000000000000	5	9	298c080a	9
0000002a00880201	0000000000000000	7	6	29880a0a	9
0000002a20880000	0000000000000000	6	1	28cc8808	9
0000003000000000	0000000000000000	2	1	29ac0801	9
0000003001200000	0000000000000000	4	1	298c0a01	9
0000003001200400	0000000000000000	5	4	29880a03	9
0000003001600000	0000000000000000	5	8	29849801	9
0000003001600400	0000000000000000	6	6	29881803	9
0000003c00000000	0000000000000000	4	3	29a41840	9
0000003c00000600	0000000000000000	6	5	29a81840	9
0000003c01b00000	0000000000000000	8	1	298c1a00	9
0000003c01f00000	0000000000000000	9	4	298c1802	9
0000003c01f00601	0000000000000000	12	1	29c89800	9
0000003e00080000	0000000000000000	6	6	29ac0802	9
0000003e00080600	0000000000000000	8	1	29e80840	9
0000003e01b80000	0000000000000000	10	4	298c0a02	9
0000003e01b80601	0000000000000000	13	1	29c88a00	9
0000003e01f80000	0000000000000000	11	10	298c8802	9
0000003e01f80601	0000000000000000	14	1	29c88802	9
0000004000000000	0000000000000000	1	268	2808009f	9
0000004800000000	0000000000000000	2	1	29a41088	9
0000004800000200	0000000000000000	3	3	29a010c8	9
0000004800800000	0000000000000000	3	3	29849088	9
0000004800800201	0000000000000000	5	5	2988108a	9
0000004820000000	0000000000000000	3	1	28ac1088	9
0000004820000210	0000000000000000	5	1	28a810c8	9
0000004820000212	0000000000000000	6	1	28a81288	9
0000004820800000	0000000000000000	4	1	288c1288	9
0000004a00080000	0000000000000000	4	1	29ac0088	9
0000004a00080200	0000000000000000	5	3	29a800c8	9
0000004a00880000	0000000000000000	5	11	298480c8	9
0000004a00880201	0000000000000000	7	7	2988028a	9
0000004a20880000	0000000000000000	6	2	288c8288	9
0000005000000000	0000000000000000	2	25	29241083	9
0000005000000400	0000000000000000	3	53	29201087	9
0000005001000000	0000000000000000	3	18	29041285	9
0000005001000400	0000000000000000	4	29	29009285	9
0000005001400000	0000000000000000	4	43	29049083	9
0000005001400400	0000000000000000	5	23	29081087	9
0000005040000000	0000000000000000	3	2	282c8281	9
0000005040000420	0000000000000000	5	2	28289181	9
0000005041000000	0000000000000000	4	3	280c9281	9
0000005041000420	0000000000000000	6	1	28889281	9
0000005050000000	0000000000000000	4	4	282c1083	9
0000005050000424	0000000000000000	7	7	28281283	9
0000005051000000	0000000000000000	5	5	280c1285	9
0000005c00000000	0000000000000000	4	5	29a410c0	9
0000005c00000600	0000000000000000	6	11	29a011c0	9
0000005c01900000	0000000000000000	7	2	29849280	9
0000005c01900601	0000000000000000	10	5	29881282	9
0000005c01d00000	0000000000000000	8	7	298490c0	9
0000005c70000000	0000000000000000	7	1	28ac10c0	9
0000005c70000634	0000000000000000	12	1	28a812c0	9
0000005e00080000	0000000000000000	6	7	29a480c0	9
0000005e00080600	0000000000000000	8	4	29a802c0	9
0000005e01980000	0000000000000000	9	6	298c0282	9
0000005e01980601	0000000000000000	12	4	29888282	9
0000005e01d80000	0000000000000000	10	11	298c0086	9
0000006000000000	0000000000000000	2	143	2888020f	9
0000006800000000	0000000000000000	3	6	29a41048	9
0000006800000200	0000000000000000	4	13	29a01148	9
0000006800800000	0000000000000000	4	8	298c100a	9
0000006800800201	0000000000000000	6	10	2988120a	9
0000006820000000	0000000000000000	4	7	28ac100a	9
0000006820000210	0000000000000000	6	4	28a81148	9
0000006820000212	0000000000000000	7	5	28a8120a	9
0000006820800000	0000000000000000	5	3	288c120c	9
0000006a00080000	0000000000000000	5	9	29a48048	9
0000006a00080200	0000000000000000	6	7	29a8004a	9
0000006a00880000	0000000000000000	6	24	298c000e	9
0000006a00880201	0000000000000000	8	6	2988020e	9
0000006a20080000	0000000000000000	6	3	28ac0248	9
0000006a20880000	0000000000000000	7	1	28cd0208	9
0000007000000000	0000000000000000	3	11	29a41041	9
0000007000000400	0000000000000000	4	16	29a01043	9
0000007001200000	0000000000000000	5	8	29849201	9
0000007001200400	0000000000000000	6	11	29880207	9
0000007001600000	0000000000000000	6	20	29849003	9
