q,r,grid,mass,ticks,active
588,620,3958331593376160,294175174513898,2699709620870934,1
100,619,56456388394005600,3911440109143218,20595173300000334,1
210,619,11291277678801120,791519523121886,4700619241474338,1
220,619,11291277678801120,786125172818238,4360775172344514,1
256,619,180660442860817920,11898062839346538,26936187435560214,1
260,619,11291277678801120,802056079961888,5364422322394464,1
265,619,598437716976459360,41444785493911306,217270618210574838,1
271,619,3059936250955103520,219234750673268368,1572044288595493104,1
282,619,530690050903652640,37303087483027192,227334307816102536,1
294,619,79038943751607840,5754289372153546,46364455439242038,1
306,619,11291277678801120,793110734808936,4800865577758488,1
313,619,3534169913464750560,241906162833750570,1103408604667283670,1
315,619,11291277678801120,828018958205698,7000083651754494,1
316,619,892010936625288480,65916100497234454,584670584824616682,1
320,619,45165110715204480,3235035348984536,23146784125207848,1
332,619,937176047340492960,64556628667598008,318363416696702664,1
366,619,688767938406868320,48472599180264990,298701994729221090,1
372,619,350029608042834720,24509834616166642,144001148647159566,1
381,619,1433992265207742240,100207926872614476,577130332143743028,1
383,619,4324559350980828960,311739061605639724,2341323477231986772,1
384,619,90330221430408960,6300269869343300,35596116046992060,1
416,619,22582555357602240,1557491000355418,7791711591982374,1
420,619,11291277678801120,824085731051266,6752290341025278,1
440,619,11291277678801120,792116173380610,4738208207773950,1
512,619,361320885721635840,24585318302862418,103591510193788974,1
520,619,11291277678801120,798507747704952,5140877390207496,1
530,619,598437716976459360,41319347507095472,209368025041177296,1
538,619,3037353695597501280,222377874666612026,1860391321606552518,1
100,618,9394197099487200,676162286348978,5021435642036814,1
210,618,1878839419897440,135489746136290,1020496326996510,1
220,618,1878839419897440,131685808820558,780848276105394,1
256,618,30061430718359040,2025976758200482,7390812893194206,1
260,618,1878839419897440,135765818360240,1037888877105360,1
294,618,13151875939282080,953050803140756,7434696840739308,1
313,618,588076738427898720,40187565572732282,179509677370538886,1
320,618,7515357679589760,545711998252884,4318425171572652,1
366,618,114609204613743840,7952622715604836,42578412628129308,1
