q	r	grid	cells	atoms	active_base	active_base_fnv	active_joint	active_nonjoint	inactive_joint	inactive_joint_fnv	active_additions	addition_activity_fnv	exposed	exposed_fnv	stage0_cut0_fail	stage0_failure_fnv	stage1_cut1_fail	stage1_failure_fnv	stage2_cut2_fail	stage2_failure_fnv	stage3_cut11_fail	stage3_failure_fnv	stage4_cut42_fail	stage4_failure_fnv	stage5_cut45_fail	stage5_failure_fnv
409	650	37303171006701600	9181	2334	6678	c031517df8462f32	413	6265	8	d17dc8461f6c3140	42	1be46d1b92f59f5	130	9e8ae9088afce8d7	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
410	650	3739437680378400	9165	2320	5930	1bcdf3bebd6a2504	400	5530	21	12e6466efee48dcb	43	e06031e5604f6e4a	382	ed24448067b34735	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
412	654	204793496768820960	9253	2323	7532	4f9a8e5cabe0112b	418	7114	3	ea082fa26ba6bd0a	45	ca748e43990c15c8	29	1a0133566cea0f88	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
416	650	182411594164800	9197	2343	5277	ed50e294216ee797	368	4909	53	1acddccb602d2948	37	d324d111e27e5eb7	2146	38bd25c7e13edf95	14	9ed8596575d1e38f	14	9ed8596575d1e38f	14	9ed8596575d1e38f	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
416	654	3976572752792640	9269	2329	6210	8901866a7569de36	399	5811	22	b7bfe8be4d211c3c	42	3934cb6f4ad583b0	444	313361b6ffb4c902	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
416	656	1495775072151360	9245	2341	7458	cde8411777e886d	416	7042	5	daea7b7f22a39cb2	44	4317752941c278cf	39	edcc2a7986bd8721	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
420	646	18241159416480	9197	2402	8138	68ff58050e73a0f3	420	7718	1	2c182fbb74f5f3d2	45	227b4cfbd3011a23	24	50d763002d8e3373	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
422	650	19244423184386400	9205	2331	8306	e6b9f25d9795c395	420	7886	1	e538a3036d0f0418	45	d886dfb03b7e735	22	4a5fb39076527168	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
440	650	91205797082400	9165	2374	7491	95989de42c40ab49	415	7076	6	a7ce56803b41c673	45	e0849a535667bd70	104	d132708f93076f5f	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
440	653	11911477098961440	9237	2358	8255	b41b377347fa74c9	420	7835	1	4480963e591d39ff	45	5da044af00c70f13	8	11330d67938137ba	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
440	654	1988286376396320	9237	2359	7835	dbe3e25d22150219	419	7416	2	54f991eb53b8549c	45	1e51c42811785b5e	40	b8e89f769d30fde4	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
512	648	5253453911946240	9437	2331	6408	2aa2fc64bc73bf4	419	5989	2	21c602b81b52b4d3	44	f6e5b2a2ea6f7ea9	18	b1c2801f273fb9ee	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
512	650	2918585506636800	9389	2344	5220	8c0034a6b2cbb5a2	404	4816	17	b62731f60dddf927	41	f57a71be01adbbf6	341	8e7d8d071d0038ce	1	acd6d04d579aa070	1	acd6d04d579aa070	1	acd6d04d579aa070	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
516	650	3921849274543200	9397	2334	7266	8014441d2c75c67a	419	6847	2	8d52681a14620454	44	7c3c1b869be85812	28	ecdf7c1f280af5eb	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
519	650	15778602895255200	9397	2355	6637	e3b148de187ecd70	412	6225	9	d5f0a6366e565e93	43	3547938d7687c90f	133	ca776a3653921615	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	646	18241159416480	9317	2288	6582	a5bc03cb85d4c682	399	6183	22	2f107042929867f3	44	4b785aa800a2c66b	447	bf264a57842dda25	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	647	11802030142462560	9385	2290	8129	dbbec8f95f6e17c8	419	7710	2	141e2e83e5150e4	45	5df24e78e8e0a203	9	fd8e1ce8b42a8ce3	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	648	164170434748320	9373	2281	7631	7ddc4023a4b22fae	419	7212	2	cd27c92bd1e03012	45	a20ac34a25b3c6b	22	d1f9aa0b8418344a	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	652	2973308984886240	9389	2304	7798	dde6bebdd3d39f1b	415	7383	6	c29b46c394046930	45	7b9dcace6cd4dc17	50	a9314dfe5f0991bf	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	653	11911477098961440	9397	2271	7986	cce74719f667cf47	419	7567	2	141e2e83e5150e4	45	ce34e7ad9f7a8447	9	fd8e1ce8b42a8ce3	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	654	1988286376396320	9397	2279	5256	6741580c0ad9cfeb	373	4883	48	da885ef4d1052265	40	c03c9ba46c653a1d	1490	6f7ffb369e41c033	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	659	12020924055460320	9409	2286	8045	ef3159e642a1c1f6	418	7627	3	70e50de43dda4266	45	49e6b534671ee86	46	d40f4cf8d83e6b34	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
520	660	18241159416480	9413	2295	7394	f96b18e72d6e068a	419	6975	2	b1404f7c8eb40ecc	45	abd775e89219078d	19	bf574731eefca2ba	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
530	650	4833907245367200	9405	2360	6841	62e80508fffbff94	417	6424	4	3a6bfd7f508bb33f	43	454e34ff65b823fc	54	e97f0991ebe361ce	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
538	650	24534359415165600	9437	2345	8410	5bf6a10297520c0a	420	7990	1	8f6564224102b496	44	d2907f13cbbab7ee	8	4ebad120ec162881	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
