======================================================================
n=5 SC TOURNAMENTS: b1 vs c3 DETAILED
======================================================================

n=5 SC: (score, c3, b1) => count
  score=(1, 1, 2, 3, 3), c3=3, b1=0: 120
  score=(1, 1, 2, 3, 3), c3=3, b1=1: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=0: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=1: 160
  score=(2, 2, 2, 2, 2), c3=5, b1=1: 24

======================================================================
SCORE (1,2,2,2,3) at n=5: b1 vs c3
======================================================================

  max_c3v=4 at bits=2873, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2955, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=2962, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=3249, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=3254, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=3338, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=3350, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=3435, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=3441, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=4917, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=4920, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=4946, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=4953, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=5011, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=5012, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6230, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6232, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6501, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6521, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6533, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6550, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6769, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6778, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6918, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=6938, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=7079, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=7089, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=7283, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=7284, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=7462, c3_vs=[4, 4, 4, 4, 4, 4]
