body	d1	d2	low	excess
1,5,9,11,12,14	198	2205	243	34729/119189070
1,5,9,11,12,14	198	2940	243	34729/119189070
1,5,9,11,12,14	198	3528	243	34729/119189070
1,5,9,11,12,14	198	4410	243	34729/119189070
1,5,9,11,12,14	198	5880	243	34729/119189070
1,5,9,11,12,14	198	6468	243	34729/119189070
1,5,9,11,12,14	198	8085	243	34729/119189070
1,5,9,11,12,14	198	8820	243	34729/119189070
1,5,9,11,12,14	198	12936	243	34729/119189070
1,5,9,11,12,14	198	16170	243	34729/119189070
1,5,9,11,12,14	198	17640	243	34729/119189070
1,5,9,11,12,14	198	19404	243	34729/119189070
1,5,9,11,12,14	198	24255	243	34729/119189070
1,5,9,11,12,14	198	32340	243	34729/119189070
1,5,9,11,12,14	198	38808	243	34729/119189070
1,5,9,11,12,14	198	48510	243	34729/119189070
1,5,9,11,12,14	198	64680	243	34729/119189070
1,5,9,11,12,14	198	97020	243	34729/119189070
1,5,9,11,12,14	198	194040	243	34729/119189070
1,5,9,11,12,14	210	4851	243	34729/119189070
1,5,9,11,12,14	210	9702	243	34729/119189070
1,5,9,11,12,14	210	19404	243	34729/119189070
1,5,9,11,12,14	210	24255	243	34729/119189070
1,5,9,11,12,14	210	48510	243	34729/119189070
1,5,9,11,12,14	210	97020	243	34729/119189070
1,5,9,11,12,14	231	1764	243	34729/119189070
1,5,9,11,12,14	231	2205	243	34729/119189070
1,5,9,11,12,14	231	4410	243	34729/119189070
1,5,9,11,12,14	231	8820	243	34729/119189070
1,5,9,11,12,14	231	19404	243	34729/119189070
1,5,9,11,12,14	231	24255	243	34729/119189070
1,5,9,11,12,14	231	48510	243	34729/119189070
1,5,9,11,12,14	231	97020	243	34729/119189070
1,5,9,11,12,14	252	1617	243	34729/119189070
1,5,9,11,12,14	252	3234	243	34729/119189070
1,5,9,11,12,14	252	4851	243	34729/119189070
1,5,9,11,12,14	252	6468	243	34729/119189070
1,5,9,11,12,14	252	8085	243	34729/119189070
1,5,9,11,12,14	252	9702	243	34729/119189070
1,5,9,11,12,14	252	12936	243	34729/119189070
1,5,9,11,12,14	252	16170	243	34729/119189070
1,5,9,11,12,14	252	19404	243	34729/119189070
1,5,9,11,12,14	252	24255	243	34729/119189070
1,5,9,11,12,14	252	32340	243	34729/119189070
1,5,9,11,12,14	252	38808	243	34729/119189070
1,5,9,11,12,14	252	48510	243	34729/119189070
1,5,9,11,12,14	252	64680	243	34729/119189070
1,5,9,11,12,14	252	97020	243	34729/119189070
1,5,9,11,12,14	252	194040	243	34729/119189070
1,5,9,11,12,14	264	441	243	34729/119189070
1,5,9,11,12,14	264	882	243	34729/119189070
1,5,9,11,12,14	264	1764	243	34729/119189070
1,5,9,11,12,14	264	2205	243	34729/119189070
1,5,9,11,12,14	264	4410	243	34729/119189070
1,5,9,11,12,14	264	4851	243	34729/119189070
1,5,9,11,12,14	264	8820	243	34729/119189070
1,5,9,11,12,14	264	9702	243	34729/119189070
1,5,9,11,12,14	264	19404	243	34729/119189070
1,5,9,11,12,14	264	24255	243	34729/119189070
1,5,9,11,12,14	264	48510	243	34729/119189070
1,5,9,11,12,14	264	97020	243	34729/119189070
1,5,9,11,12,14	294	396	243	34729/119189070
1,5,9,11,12,14	294	495	243	34729/119189070
1,5,9,11,12,14	294	990	243	34729/119189070
1,5,9,11,12,14	294	1980	243	34729/119189070
1,5,9,11,12,14	294	2772	243	34729/119189070
1,5,9,11,12,14	294	3465	243	34729/119189070
1,5,9,11,12,14	294	6930	243	34729/119189070
1,5,9,11,12,14	294	13860	243	34729/119189070
1,5,9,11,12,14	315	1617	243	34729/119189070
1,5,9,11,12,14	315	3234	243	34729/119189070
1,5,9,11,12,14	315	4851	243	34729/119189070
1,5,9,11,12,14	315	6468	243	34729/119189070
1,5,9,11,12,14	315	8085	243	34729/119189070
1,5,9,11,12,14	315	9702	243	34729/119189070
1,5,9,11,12,14	315	12936	243	34729/119189070
1,5,9,11,12,14	315	16170	243	34729/119189070
1,5,9,11,12,14	315	19404	243	34729/119189070
1,5,9,11,12,14	315	24255	243	34729/119189070
1,5,9,11,12,14	315	32340	243	34729/119189070
1,5,9,11,12,14	315	38808	243	34729/119189070
1,5,9,11,12,14	315	48510	243	34729/119189070
1,5,9,11,12,14	315	64680	243	34729/119189070
1,5,9,11,12,14	315	97020	243	34729/119189070
1,5,9,11,12,14	315	194040	243	34729/119189070
1,5,9,11,12,14	330	441	243	34729/119189070
1,5,9,11,12,14	330	882	243	34729/119189070
1,5,9,11,12,14	330	1764	243	34729/119189070
1,5,9,11,12,14	330	2205	243	34729/119189070
1,5,9,11,12,14	330	4410	243	34729/119189070
1,5,9,11,12,14	330	4851	243	34729/119189070
1,5,9,11,12,14	330	8820	243	34729/119189070
1,5,9,11,12,14	330	9702	243	34729/119189070
1,5,9,11,12,14	330	19404	243	34729/119189070
1,5,9,11,12,14	330	24255	243	34729/119189070
1,5,9,11,12,14	330	48510	243	34729/119189070
1,5,9,11,12,14	330	97020	243	34729/119189070
1,5,9,11,12,14	360	4851	243	34729/119189070
1,5,9,11,12,14	360	9702	243	34729/119189070
1,5,9,11,12,14	360	19404	243	34729/119189070
1,5,9,11,12,14	360	24255	243	34729/119189070
1,5,9,11,12,14	360	48510	243	34729/119189070
1,5,9,11,12,14	360	97020	243	34729/119189070
1,5,9,11,12,14	396	441	243	34729/119189070
1,5,9,11,12,14	396	588	243	34729/119189070
1,5,9,11,12,14	396	735	243	34729/119189070
1,5,9,11,12,14	396	882	243	34729/119189070
1,5,9,11,12,14	396	1176	243	34729/119189070
1,5,9,11,12,14	396	1470	243	34729/119189070
1,5,9,11,12,14	396	1617	243	34729/119189070
1,5,9,11,12,14	396	1764	243	34729/119189070
1,5,9,11,12,14	396	2205	243	34729/119189070
1,5,9,11,12,14	396	2940	243	34729/119189070
1,5,9,11,12,14	396	3234	243	34729/119189070
1,5,9,11,12,14	396	3528	243	34729/119189070
1,5,9,11,12,14	396	4410	243	34729/119189070
1,5,9,11,12,14	396	4851	243	34729/119189070
1,5,9,11,12,14	396	5880	243	34729/119189070
1,5,9,11,12,14	396	6468	243	34729/119189070
1,5,9,11,12,14	396	8085	243	34729/119189070
1,5,9,11,12,14	396	8820	243	34729/119189070
1,5,9,11,12,14	396	9702	243	34729/119189070
1,5,9,11,12,14	396	12936	243	34729/119189070
1,5,9,11,12,14	396	16170	243	34729/119189070
1,5,9,11,12,14	396	17640	243	34729/119189070
1,5,9,11,12,14	396	19404	243	34729/119189070
1,5,9,11,12,14	396	24255	243	34729/119189070
1,5,9,11,12,14	396	32340	243	34729/119189070
1,5,9,11,12,14	396	38808	243	34729/119189070
1,5,9,11,12,14	396	48510	243	34729/119189070
1,5,9,11,12,14	396	64680	243	34729/119189070
1,5,9,11,12,14	396	97020	243	34729/119189070
1,5,9,11,12,14	396	194040	243	34729/119189070
1,5,9,11,12,14	420	4851	243	34729/119189070
1,5,9,11,12,14	420	9702	243	34729/119189070
1,5,9,11,12,14	420	19404	243	34729/119189070
1,5,9,11,12,14	420	24255	243	34729/119189070
1,5,9,11,12,14	420	48510	243	34729/119189070
1,5,9,11,12,14	420	97020	243	34729/119189070
1,5,9,11,12,14	441	495	243	34729/119189070
1,5,9,11,12,14	441	660	243	34729/119189070
1,5,9,11,12,14	441	792	243	34729/119189070
1,5,9,11,12,14	441	924	243	34729/119189070
1,5,9,11,12,14	441	990	243	34729/119189070
1,5,9,11,12,14	441	1155	243	34729/119189070
1,5,9,11,12,14	441	1320	243	34729/119189070
1,5,9,11,12,14	441	1848	243	34729/119189070
1,5,9,11,12,14	441	1980	243	34729/119189070
1,5,9,11,12,14	441	2310	243	34729/119189070
1,5,9,11,12,14	441	2772	243	34729/119189070
1,5,9,11,12,14	441	3465	243	34729/119189070
1,5,9,11,12,14	441	3960	243	34729/119189070
1,5,9,11,12,14	441	4620	243	34729/119189070
1,5,9,11,12,14	441	5544	243	34729/119189070
1,5,9,11,12,14	441	6930	243	34729/119189070
1,5,9,11,12,14	441	9240	243	34729/119189070
1,5,9,11,12,14	441	13860	243	34729/119189070
1,5,9,11,12,14	441	27720	243	34729/119189070
1,5,9,11,12,14	462	1764	243	34729/119189070
1,5,9,11,12,14	462	2205	243	34729/119189070
1,5,9,11,12,14	462	4410	243	34729/119189070
1,5,9,11,12,14	462	8820	243	34729/119189070
1,5,9,11,12,14	462	19404	243	34729/119189070
1,5,9,11,12,14	462	24255	243	34729/119189070
1,5,9,11,12,14	462	48510	243	34729/119189070
1,5,9,11,12,14	462	97020	243	34729/119189070
