body	d1	d2	d3	d4
2,5,9,11,12,14	264	441	10780	21560
2,5,9,11,12,14	264	441	10780	24255
2,5,9,11,12,14	264	441	10780	32340
2,5,9,11,12,14	264	882	10780	21560
2,5,9,11,12,14	264	1764	10780	21560
2,5,9,11,12,14	264	2205	10780	21560
2,5,9,11,12,14	264	3528	10780	24255
2,5,9,11,12,14	264	3528	10780	48510
2,5,9,11,12,14	264	3528	10780	97020
2,5,9,11,12,14	264	4410	10780	21560
2,5,9,11,12,14	264	4851	10780	21560
2,5,9,11,12,14	264	8085	8820	10780
2,5,9,11,12,14	264	8820	9702	10780
2,5,9,11,12,14	264	8820	10780	16170
2,5,9,11,12,14	264	8820	10780	19404
2,5,9,11,12,14	264	8820	10780	21560
2,5,9,11,12,14	264	8820	10780	24255
2,5,9,11,12,14	264	8820	10780	32340
2,5,9,11,12,14	264	9702	10780	21560
2,5,9,11,12,14	264	9702	10780	24255
2,5,9,11,12,14	264	9702	10780	32340
2,5,9,11,12,14	264	10780	19404	21560
2,5,9,11,12,14	264	10780	19404	32340
2,5,9,11,12,14	264	10780	21560	24255
2,5,9,11,12,14	264	10780	21560	48510
2,5,9,11,12,14	264	10780	21560	97020
2,5,9,11,12,14	264	10780	24255	32340
2,5,9,11,12,14	280	9702	10780	32340
2,5,9,11,12,14	280	10780	19404	32340
2,5,9,11,12,14	280	10780	24255	32340
2,5,9,11,12,14	294	396	10780	21560
2,5,9,11,12,14	294	495	10780	21560
2,5,9,11,12,14	294	990	10780	21560
2,5,9,11,12,14	294	1980	10780	21560
2,5,9,11,12,14	294	2772	10780	21560
2,5,9,11,12,14	294	3465	10780	21560
2,5,9,11,12,14	294	6930	10780	21560
2,5,9,11,12,14	294	10780	13860	21560
2,5,9,11,12,14	315	1617	10780	21560
2,5,9,11,12,14	315	3234	10780	21560
2,5,9,11,12,14	315	6468	10780	21560
2,5,9,11,12,14	315	8085	10780	21560
2,5,9,11,12,14	315	10780	12936	21560
2,5,9,11,12,14	315	10780	16170	21560
2,5,9,11,12,14	315	10780	21560	32340
2,5,9,11,12,14	315	10780	21560	64680
2,5,9,11,12,14	315	10780	32340	38808
2,5,9,11,12,14	315	10780	32340	194040
2,5,9,11,12,14	330	441	10780	21560
2,5,9,11,12,14	330	882	10780	21560
2,5,9,11,12,14	330	1764	10780	21560
2,5,9,11,12,14	330	2205	10780	21560
2,5,9,11,12,14	330	3528	9702	10780
2,5,9,11,12,14	330	3528	10780	24255
2,5,9,11,12,14	330	3528	10780	48510
2,5,9,11,12,14	330	4410	10780	21560
2,5,9,11,12,14	330	4851	10780	21560
2,5,9,11,12,14	330	8820	10780	21560
2,5,9,11,12,14	330	9702	10780	21560
2,5,9,11,12,14	330	10780	19404	21560
2,5,9,11,12,14	330	10780	21560	24255
2,5,9,11,12,14	330	10780	21560	48510
2,5,9,11,12,14	330	10780	21560	97020
2,5,9,11,12,14	360	9702	10780	24255
2,5,9,11,12,14	360	9702	10780	32340
2,5,9,11,12,14	360	10780	24255	32340
2,5,9,11,12,14	392	693	10780	32340
2,5,9,11,12,14	392	2772	8085	10780
2,5,9,11,12,14	392	2772	10780	16170
2,5,9,11,12,14	392	2772	10780	32340
2,5,9,11,12,14	392	6930	10780	32340
2,5,9,11,12,14	392	10780	13860	32340
2,5,9,11,12,14	396	588	10780	21560
2,5,9,11,12,14	396	735	10780	21560
2,5,9,11,12,14	396	1176	10780	21560
2,5,9,11,12,14	396	1470	10780	21560
2,5,9,11,12,14	396	1617	10780	21560
2,5,9,11,12,14	396	2940	10780	21560
2,5,9,11,12,14	396	3234	10780	21560
2,5,9,11,12,14	396	3528	10780	24255
2,5,9,11,12,14	396	3528	10780	48510
2,5,9,11,12,14	396	3528	10780	64680
2,5,9,11,12,14	396	3528	10780	97020
2,5,9,11,12,14	396	3528	10780	194040
2,5,9,11,12,14	396	5880	10780	21560
2,5,9,11,12,14	396	5880	10780	32340
2,5,9,11,12,14	396	6468	10780	21560
2,5,9,11,12,14	396	8085	10780	21560
2,5,9,11,12,14	396	8820	10780	194040
2,5,9,11,12,14	396	10780	12936	21560
2,5,9,11,12,14	396	10780	16170	21560
2,5,9,11,12,14	396	10780	21560	32340
2,5,9,11,12,14	396	10780	21560	64680
2,5,9,11,12,14	420	4851	10780	21560
2,5,9,11,12,14	420	9702	10780	21560
2,5,9,11,12,14	420	10780	19404	21560
2,5,9,11,12,14	420	10780	21560	24255
2,5,9,11,12,14	420	10780	21560	48510
2,5,9,11,12,14	420	10780	21560	97020
2,5,9,11,12,14	440	441	10780	32340
2,5,9,11,12,14	440	6468	8820	10780
2,5,9,11,12,14	440	8085	8820	10780
2,5,9,11,12,14	440	8820	10780	16170
2,5,9,11,12,14	440	8820	10780	32340
2,5,9,11,12,14	440	9702	10780	32340
2,5,9,11,12,14	440	10780	19404	32340
2,5,9,11,12,14	440	10780	24255	32340
2,5,9,11,12,14	441	616	10780	32340
2,5,9,11,12,14	441	660	10780	21560
2,5,9,11,12,14	441	792	10780	24255
2,5,9,11,12,14	441	792	10780	32340
2,5,9,11,12,14	441	924	10780	21560
2,5,9,11,12,14	441	1155	10780	21560
2,5,9,11,12,14	441	1320	10780	21560
2,5,9,11,12,14	441	1320	10780	24255
2,5,9,11,12,14	441	1320	10780	32340
2,5,9,11,12,14	441	1848	10780	21560
2,5,9,11,12,14	441	1848	10780	24255
2,5,9,11,12,14	441	1848	10780	32340
2,5,9,11,12,14	441	2310	10780	21560
2,5,9,11,12,14	441	2772	10780	64680
2,5,9,11,12,14	441	2772	10780	194040
2,5,9,11,12,14	441	3080	10780	32340
2,5,9,11,12,14	441	3960	10780	24255
2,5,9,11,12,14	441	3960	10780	32340
2,5,9,11,12,14	441	4620	10780	21560
2,5,9,11,12,14	441	5544	10780	24255
2,5,9,11,12,14	441	5544	10780	32340
2,5,9,11,12,14	441	6930	10780	12936
2,5,9,11,12,14	441	6930	10780	38808
2,5,9,11,12,14	441	6930	10780	64680
2,5,9,11,12,14	441	6930	10780	194040
2,5,9,11,12,14	441	9240	10780	21560
2,5,9,11,12,14	441	9240	10780	24255
2,5,9,11,12,14	441	9240	10780	32340
2,5,9,11,12,14	441	10780	12936	13860
2,5,9,11,12,14	441	10780	13860	38808
2,5,9,11,12,14	441	10780	13860	64680
2,5,9,11,12,14	441	10780	13860	194040
2,5,9,11,12,14	441	10780	24255	27720
2,5,9,11,12,14	441	10780	27720	32340
2,5,9,11,12,14	462	1764	10780	21560
2,5,9,11,12,14	462	2205	10780	21560
2,5,9,11,12,14	462	3528	10780	24255
2,5,9,11,12,14	462	3528	10780	48510
2,5,9,11,12,14	462	4410	10780	21560
2,5,9,11,12,14	462	8820	10780	21560
2,5,9,11,12,14	462	10780	19404	21560
2,5,9,11,12,14	462	10780	21560	24255
2,5,9,11,12,14	462	10780	21560	48510
2,5,9,11,12,14	462	10780	21560	97020
2,5,9,11,12,14	495	588	10780	21560
2,5,9,11,12,14	495	735	10780	21560
2,5,9,11,12,14	495	1176	10780	21560
2,5,9,11,12,14	495	1470	10780	21560
2,5,9,11,12,14	495	1617	3528	10780
2,5,9,11,12,14	495	1617	10780	21560
2,5,9,11,12,14	495	2940	10780	21560
2,5,9,11,12,14	495	3234	10780	21560
2,5,9,11,12,14	495	3528	6468	10780
2,5,9,11,12,14	495	3528	8085	10780
2,5,9,11,12,14	495	3528	9702	10780
2,5,9,11,12,14	495	3528	10780	16170
2,5,9,11,12,14	495	3528	10780	19404
2,5,9,11,12,14	495	3528	10780	24255
2,5,9,11,12,14	495	3528	10780	32340
2,5,9,11,12,14	495	3528	10780	38808
2,5,9,11,12,14	495	3528	10780	48510
2,5,9,11,12,14	495	3528	10780	64680
2,5,9,11,12,14	495	3528	10780	97020
2,5,9,11,12,14	495	3528	10780	194040
2,5,9,11,12,14	495	5880	10780	21560
2,5,9,11,12,14	495	5880	10780	32340
2,5,9,11,12,14	495	6468	10780	21560
2,5,9,11,12,14	495	8085	10780	21560
2,5,9,11,12,14	495	10780	12936	21560
2,5,9,11,12,14	495	10780	16170	21560
2,5,9,11,12,14	495	10780	17640	32340
2,5,9,11,12,14	495	10780	21560	32340
2,5,9,11,12,14	495	10780	21560	64680
2,5,9,11,12,14	495	10780	32340	38808
2,5,9,11,12,14	495	10780	32340	194040
2,5,9,11,12,14	504	9702	10780	24255
2,5,9,11,12,14	504	9702	10780	32340
2,5,9,11,12,14	504	10780	24255	32340
2,5,9,11,12,14	588	693	10780	21560
2,5,9,11,12,14	588	990	10780	21560
2,5,9,11,12,14	588	1386	10780	21560
2,5,9,11,12,14	588	1980	10780	21560
2,5,9,11,12,14	588	2772	10780	21560
