H-SPECTRUM: n=8, m=28, EXHAUSTIVE (268435456 tournaments)
Processing lower half [0,134217728) in 174763 chunks of B=768; counts doubled by reversal symmetry. Cores: 24
  166912/174763 chunks  prefix=128188416/134217728  84135/s  ETA 72s  distinct=320
  167936/174763 chunks  prefix=128974848/134217728  84137/s  ETA 62s  distinct=320
  168960/174763 chunks  prefix=129761280/134217728  84146/s  ETA 53s  distinct=320
  169984/174763 chunks  prefix=130547712/134217728  84150/s  ETA 44s  distinct=320
  171008/174763 chunks  prefix=131334144/134217728  84154/s  ETA 34s  distinct=320
  172032/174763 chunks  prefix=132120576/134217728  84146/s  ETA 25s  distinct=320
  173056/174763 chunks  prefix=132907008/134217728  84144/s  ETA 16s  distinct=320
  174080/174763 chunks  prefix=133693440/134217728  84150/s  ETA 6s  distinct=320
  174763/174763 chunks  prefix=134217728/134217728  84160/s  ETA 0s  distinct=320

================================================================
FULL H-CENSUS (n=8, EXHAUSTIVE, all 2^28 = 268435456 tournaments)
================================================================
  H=     1:        40320
  H=     3:        80640
  H=     5:       201600
  H=     9:       349440
  H=    11:       161280
  H=    13:       161280
  H=    15:       408576
  H=    17:       241920
  H=    19:       241920
  H=    23:       483840
  H=    25:       362880
  H=    27:       376320
  H=    29:       645120
  H=    31:       403200
  H=    33:       712320
  H=    35:       161280
  H=    37:       766080
  H=    39:       188160
  H=    41:       524160
  H=    43:       403200
  H=    45:       592256
  H=    47:       161280
  H=    49:       604800
  H=    51:       645120
  H=    53:       564480
  H=    55:       322560
  H=    57:       336000
  H=    59:       806400
  H=    61:       241920
  H=    63:        80640
  H=    65:      1008000
  H=    67:       483840
  H=    69:       887040
  H=    71:       725760
  H=    73:      1088640
  H=    75:       483840
  H=    77:      1048320
  H=    79:       645120
  H=    81:      1182720
  H=    83:       725760
  H=    85:       282240
  H=    87:       268800
  H=    89:      1411200
  H=    91:      1693440
  H=    93:       725760
  H=    95:       806400
  H=    97:       887040
  H=    99:       546560
  H=   101:       967680
  H=   103:       967680
  H=   105:       712320
  H=   107:       403200
  H=   109:      1451520
  H=   111:      1128960
  H=   113:       645120
  H=   115:      1128960
  H=   117:      1061760
  H=   119:       483840
  H=   121:       483840
  H=   123:      1155840
  H=   125:       483840
  H=   127:       403200
  H=   129:      1559040
  H=   131:       967680
  H=   133:      1169280
  H=   135:       930048
  H=   137:      1048320
  H=   139:      1209600
