a	b	c	denominator	E0_numerator	E1_numerator	E2_numerator	mass_numerator	raw_carriers
38	41	46	3010056	51984	103320	84456	51984	4
38	41	47	3075492	18696	48954	11562	11562	2
38	41	49	3206364	62472	59532	89964	36306	4
38	41	50	3271800	82992	72816	45600	43632	4
38	41	52	3402672	82308	126936	86040	58200	6
38	41	53	3468108	90288	82656	112176	82656	4
38	41	55	3598980	61104	90282	83478	45594	4
38	41	56	3664416	139536	133332	120936	62784	8
38	41	58	3795288	112176	59040	89844	59040	4
38	41	59	3860724	87552	126936	134676	65166	6
38	41	61	3991596	72504	94464	112176	72504	4
38	41	62	4057032	109212	90528	117012	69780	6
38	43	44	3019632	84816	123840	136704	50520	8
38	43	46	3156888	99636	93912	116196	58392	6
38	43	47	3225516	56088	88236	111558	56088	4
38	43	49	3362772	88920	93654	98808	44544	6
38	43	50	3431400	93480	95976	103824	44976	6
38	43	52	3568656	83220	154800	158040	83220	6
38	43	53	3637284	41952	93138	25440	17442	4
38	43	55	3774540	79800	136482	122184	67674	6
38	43	56	3843168	147744	139836	100800	52284	8
38	43	58	3980424	83904	82560	57072	48816	4
38	43	59	4049052	59736	94170	95286	59736	4
38	43	61	4186308	95304	121776	113094	53832	6
38	43	62	4254936	328092	253872	229248	229020	12
38	44	47	3300528	25536	101376	36096	14184	4
38	44	49	3440976	101460	174504	101724	95388	6
38	44	53	3721872	102828	153648	125700	55572	8
38	44	55	3862320	65208	91872	76692	49104	4
38	44	59	4143216	93024	76032	120384	76032	4
38	44	61	4283664	117648	117216	148032	84156	6
38	46	47	3450552	120612	87492	102648	52848	6
38	46	49	3597384	83220	160632	161712	83220	6
38	46	53	3891048	117648	241776	205392	117648	8
38	46	55	4037880	71136	125856	109128	71136	4
38	46	59	4331544	103740	188784	122400	103740	6
38	46	61	4478376	262884	357420	248832	242736	12
38	47	49	3675588	83448	72192	71736	48024	4
38	47	50	3750600	74556	118440	112296	45228	6
38	47	52	3900624	97812	109980	118584	49452	6
38	47	53	3975636	99864	99828	124080	56964	6
38	47	55	4125660	107160	97854	134202	68214	6
38	47	56	4200672	372096	257184	394488	257184	14
38	47	58	4350696	134064	219960	257184	134064	8
38	47	59	4425708	123120	143538	125892	87588	6
38	47	61	4575732	84816	165816	207648	69078	8
38	47	62	4650744	127224	138744	144648	92256	6
38	49	50	3910200	97128	128184	93600	91248	4
38	49	52	4066608	71136	129948	71136	67020	4
38	49	53	4144812	66120	78204	112572	45450	4
38	49	55	4301220	94392	102312	134064	94392	4
38	49	56	4379424	153216	134064	151368	76608	8
38	49	58	4535832	44232	62328	133500	31356	4
38	49	59	4614036	71136	109368	134064	71136	4
38	49	61	4770444	134064	88200	111318	88200	4
38	49	62	4848648	106476	119952	183096	77088	6
38	50	53	4229400	131328	100800	114480	100800	4
38	50	55	4389000	103740	133500	131760	71340	6
38	50	59	4708200	102372	152700	166104	87672	6
38	50	61	4867800	144780	132900	138672	81216	6
38	52	53	4398576	105336	78624	118296	78624	4
38	52	55	4564560	139764	99528	138456	79860	6
38	52	59	4896528	20976	131352	82128	20976	4
38	52	61	5062512	120384	177840	145800	93864	6
38	53	55	4652340	138624	92538	127050	52764	6
38	53	56	4736928	106704	172356	215568	84564	8
38	53	58	4906104	52896	119568	113916	52896	4
38	53	59	4990692	134064	91584	118944	91584	4
