======================================================================
SUM b1(T\v) DELETION ANALYSIS — HYP-282
======================================================================

--- n=5 exhaustive (1024 tournaments) ---
  VIOLATION: bits=769, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=771, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=773, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=775, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=777, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=779, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=781, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=782, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=783, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=784, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=785, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=792, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=794, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=798, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=859, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=889, scores=(1, 2, 3, 3, 3, 3), sum=5, b1=1
  VIOLATION: bits=891, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=897, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=899, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=901, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=902, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=903, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=910, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
