======================================================================
SC MAXIMIZER — FIXED COMPLEMENTARY PAIR ANALYSIS (n=6)
======================================================================

  Total regular n=6 tournaments: 2640

  H=41: 720 tournaments
    Has invol anti-aut: 720/720
    comp_both (complement pairs both cyclic): {2: 720}
    alpha_2 (from full I.P.): {2: 720}
    Full IP: {(1, 16, 2): 720}

  H=43: 1440 tournaments
    Has invol anti-aut: 0/1440
    comp_both (complement pairs both cyclic): {1: 1440}
    alpha_2 (from full I.P.): {1: 1440}
    Full IP: {(1, 19, 1): 1440}

  H=45: 480 tournaments
    Has invol anti-aut: 480/480
    comp_both (complement pairs both cyclic): {1: 240, 4: 240}
    alpha_2 (from full I.P.): {1: 240, 4: 240}
    Full IP: {(1, 14, 4): 240, (1, 20, 1): 240}

  ===== THEOREM STRUCTURE =====
  comp_both -> alpha_2 -> H mapping:
  comp_both=1: 1680 tours, H={43: 1440, 45: 240}, alpha_2={1: 1680}, anti_aut=240/1680
  bits=2738: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2739: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2744: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2745: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2746: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2826: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2842: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2857: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2858: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2859: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2872: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2873: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2874: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2947: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2954: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2955: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2962: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=2963: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2970: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2979: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2985: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2987: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2993: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=2995: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3001: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3122: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3124: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3126: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3128: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3130: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3132: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3154: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3162: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3185: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3186: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3187: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3192: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3193: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3194: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3218: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3222: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3249: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=3250: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3251: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3252: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3253: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3254: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=3282: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3283: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3313: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3315: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3334: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3338: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=3342: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3346: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3350: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=3354: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3363: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3365: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3366: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3367: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3369: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3370: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3371: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3372: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3373: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3374: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3377: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3378: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3379: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3380: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3381: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3382: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3384: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3385: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3386: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3388: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3395: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3402: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3403: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3410: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3411: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3418: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3427: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3433: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3435: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=3441: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
