w0,w1,weight,count8,least8,count9,least9
0000000000000000,0000000520000000,3,2,004ca209,82,000c821f
0000000000000000,0000000520008000,4,4,0048e209,72,0008a21f
0000000000000000,000000052000a000,5,0,,2,080aca0c
0000000000000000,0000000520040000,4,0,,2,084ca809
0000000000000000,0000000520100000,4,0,,3,000ee00d
0000000000000000,0000000520140000,5,0,,6,000ca01f
0000000000000000,0000000524000000,4,0,,2,080e880d
0000000000000000,0000000590000000,4,0,,4,000c6649
0000000000000000,0000000598000000,5,0,,26,000c660d
0000000000000000,00000005b0000000,5,0,,2,004c6249
0000000000000000,00000005b0400000,6,0,,1,080e4249
0000000000000000,00000005b8000000,6,1,080e2209,36,000c221f
0000000000000000,00000005b8100000,7,0,,2,004e600d
0000000000000000,00000005b8140000,8,0,,3,000c601f
0000000000000000,00000005b8400000,7,0,,14,080e021b
0000000000000000,00000005bc400000,8,0,,1,080e001f
0000000000000000,0000000600000000,2,8,01058609,229,0005a649
0000000000000000,000000060000c000,4,20,01018649,396,0001e649
0000000000000000,000000060000e000,5,0,,6,0041ce48
0000000000000000,000000060001c000,5,0,,2,0843ac08
0000000000000000,000000060001e000,6,0,,1,0843cc08
0000000000000000,0000000604000000,3,0,,3,01478809
0000000000000000,0000000610000000,3,0,,23,01052649
0000000000000000,0000000618000000,4,13,01052609,158,0105260b
0000000000000000,0000000618200000,5,0,,2,09470a01
0000000000000000,0000000618800000,5,0,,1,09454209
0000000000000000,000000061c000000,5,0,,1,09470809
0000000000000000,0000000620000000,3,0,,46,0005e20d
0000000000000000,000000062000c000,5,1,0041e209,40,0041aa0d
0000000000000000,0000000620100000,4,0,,1,0047a809
0000000000000000,0000000620140000,5,0,,1,0045e809
0000000000000000,0000000624000000,4,0,,1,08478809
0000000000000000,0000000698000000,5,0,,10,00472609
0000000000000000,0000000698010000,6,0,,2,08472c08
0000000000000000,00000006b8000000,6,0,,19,0047220d
0000000000000000,0000000700000000,3,16,0104a609,478,0004e60d
0000000000000000,000000070000c000,5,24,0100a649,549,0002e649
0000000000000000,000000070000e000,6,0,,3,0842c648
0000000000000000,0000000700010000,4,0,,2,0846ac08
0000000000000000,000000070001c000,6,0,,1,0842ec08
0000000000000000,0000000704000000,4,0,,6,0906880b
0000000000000000,0000000712000000,5,0,,21,0104264d
0000000000000000,0000000712400000,6,0,,5,09060a49
0000000000000000,000000071a000000,6,6,01046609,88,01042e0d
0000000000000000,000000071a400000,7,3,09060a09,24,0906021b
0000000000000000,000000071e400000,8,0,,2,0906001f
0000000000000000,0000000720000000,4,1,0806a209,45,0006e20d
0000000000000000,000000072000c000,6,2,0802e209,34,0040ea0d
0000000000000000,0000000720100000,5,0,,1,0046e809
