trace_w0,trace_w1,weight,full_signature_preimages,maximal
0020000000100000,0000000000001010,4,4,0
0200000000044000,0000000000001010,5,5,0
8000000000000000,0000000000001010,3,3,0
8020000000000000,0000000000001010,4,6,0
8020000000100000,0000000000001010,5,1,1
8020080000000000,0000000000001010,5,5,0
8000000000000000,0000000000001012,4,2,0
8000000000000200,0000000000001012,5,1,0
8020000000000000,0000000000001012,5,1,0
8020080000000000,0000000000001012,6,1,0
0200000000044000,0000000000001090,6,1,0
0000000000000000,0000000000001200,2,5,0
0000800000100000,0000000000001200,4,1,0
0000000000000000,0000000000001210,3,2,0
0020000000000000,0000000000001210,4,2,0
0020800000100000,0000000000001210,6,1,1
0000000000000000,0000000000002000,1,24,0
0000000000000020,0000000000002000,2,6,0
0000000000000021,0000000000002000,3,1,1
0000000000040000,0000000000002000,2,5,0
0000000000044000,0000000000002000,3,3,0
0000000000044020,0000000000002000,4,3,0
0000000002000000,0000000000002000,2,4,0
0000000002040000,0000000000002000,3,3,0
0000000002044000,0000000000002000,4,1,1
0000000800000000,0000000000002000,2,1,0
0000002000000000,0000000000002000,2,3,0
0000002000040000,0000000000002000,3,1,1
0000010000044000,0000000000002000,4,2,0
0000010000044020,0000000000002000,5,1,0
0000080000000000,0000000000002000,2,2,0
0000080000000020,0000000000002000,3,1,0
0000080000040000,0000000000002000,3,2,0
0000080800000000,0000000000002000,3,1,0
0001000000000000,0000000000002000,2,4,0
0001000000000020,0000000000002000,3,2,0
0001000000040000,0000000000002000,3,2,0
0001000002040000,0000000000002000,4,2,0
0001080000000000,0000000000002000,3,1,0
0001080000040000,0000000000002000,4,1,1
0020000000000000,0000000000002000,2,6,0
0020000000000020,0000000000002000,3,4,0
0020080000000000,0000000000002000,3,1,0
0020080000000020,0000000000002000,4,1,1
0021000000000000,0000000000002000,3,2,0
0021000000000020,0000000000002000,4,1,1
0000000000044000,0000000000002080,4,1,0
0000000000000000,0000000000002200,2,2,0
0000000000000000,0000000000003000,2,9,0
0000000000040000,0000000000003000,3,6,0
0000000000100000,0000000000003000,3,8,0
0000000000140000,0000000000003000,4,1,0
0000000002000000,0000000000003000,3,3,0
0000000002040000,0000000000003000,4,2,0
0000000002100000,0000000000003000,4,2,0
0000000002140000,0000000000003000,5,2,1
0000002000100000,0000000000003000,4,1,1
0000080000040000,0000000000003000,4,1,1
0001000000040000,0000000000003000,4,1,0
0001000000140000,0000000000003000,5,1,1
0001000002040000,0000000000003000,5,2,1
0200000000000000,0000000000003000,3,7,0
0220000000044000,0000000000003010,7,2,0
0220000000044020,0000000000003010,8,2,0
0220010000044000,0000000000003010,8,1,0
0220010000044020,0000000000003010,9,1,1
02a0000000044000,0000000000003010,8,1,1
0220000000044000,0000000000003090,8,1,1
0200000000000000,0000000000003200,4,1,0
0000000000000000,0000000000008000,1,114,0
0000000000000020,0000000000008000,2,4,0
0000000000000200,0000000000008000,2,9,0
0000000000044000,0000000000008000,3,4,0
0000000001000000,0000000000008000,2,7,0
0000000001000020,0000000000008000,3,3,0
0000000001000200,0000000000008000,3,2,0
0000000001044000,0000000000008000,4,1,0
0000000002044000,0000000000008000,4,1,1
0000080000000000,0000000000008000,2,29,0
0000080000000020,0000000000008000,3,2,0
0000080000000021,0000000000008000,4,1,1
0000090000000000,0000000000008000,3,3,0
0000090001000020,0000000000008000,5,1,1
0000800000000000,0000000000008000,2,5,0
0000800001000000,0000000000008000,3,2,0
0001000000000000,0000000000008000,2,8,0
0001000000000020,0000000000008000,3,2,0
0001080000000000,0000000000008000,3,4,0
0020000000000000,0000000000008000,2,27,0
0020000000000020,0000000000008000,3,4,0
0020000000000200,0000000000008000,3,5,0
0020000000400000,0000000000008000,3,2,0
0020000000400020,0000000000008000,4,1,1
0020080000000000,0000000000008000,3,16,0
0020080000000020,0000000000008000,4,1,1
0021000000000000,0000000000008000,3,4,0
0000000000000000,0000000000008002,2,3,0
0000000000000200,0000000000008002,3,1,0
0000000000000000,0000000000008200,2,3,0
0000000000000000,0000000000009000,2,2,0
8000000000000000,0000000000009010,4,4,0
8000000000100000,0000000000009010,5,1,1
8020000000000000,0000000000009010,5,1,0
0000000000000000,000000000000a000,2,14,0
0000000000000020,000000000000a000,3,3,0
0000000003000000,000000000000a000,4,1,1
0000080000000000,000000000000a000,3,3,0
0000080000000020,000000000000a000,4,1,1
0001000000000000,000000000000a000,3,2,0
0000000000000000,0000000000010000,1,160,0
0000000000000001,0000000000010000,2,1,0
0000000000000020,0000000000010000,2,6,0
0000000000100000,0000000000010000,2,3,0
0000000000400000,0000000000010000,2,18,0
0000000000400001,0000000000010000,3,1,0
0000000000400020,0000000000010000,3,3,0
0000000020000000,0000000000010000,2,2,0
0000000100000000,0000000000010000,2,8,0
0000002000000000,0000000000010000,2,4,0
0000002100000000,0000000000010000,3,1,0
0000004000000000,0000000000010000,2,4,0
0000004000100000,0000000000010000,3,2,0
0000004020000000,0000000000010000,3,2,0
0000004020100000,0000000000010000,4,2,0
0000080000000000,0000000000010000,2,5,0
0000800000000000,0000000000010000,2,3,0
0000800000400000,0000000000010000,3,3,0
0000800100000000,0000000000010000,3,1,0
0001000000000000,0000000000010000,2,10,0
0001000000400000,0000000000010000,3,3,0
0001000000400001,0000000000010000,4,1,1
0020000000000000,0000000000010000,2,9,0
0020000000000001,0000000000010000,3,1,1
0020000000400000,0000000000010000,3,3,0
0021000000000000,0000000000010000,3,2,0
0021000000400000,0000000000010000,4,1,1
0200000000000000,0000000000010000,2,32,0
0200000000004000,0000000000010000,3,3,0
0200000002000000,0000000000010000,3,8,0
0200010000000000,0000000000010000,3,2,0
0200800000000000,0000000000010000,3,3,0
0280000000000000,0000000000010000,3,9,0
0280000000004000,0000000000010000,4,1,1
0280010000000000,0000000000010000,4,1,0
8000000000000000,0000000000010000,2,19,0
8000000000400000,0000000000010000,3,2,0
8200000000000000,0000000000010000,3,6,0
8280000000000000,0000000000010000,4,10,0
0000000000000000,0000000000010002,2,13,0
0000000000000200,0000000000010002,3,1,0
0000000000400000,0000000000010002,3,2,0
0020000000000000,0000000000010002,3,1,0
0020000000000200,0000000000010002,4,1,0
8000000000000000,0000000000010002,3,10,0
8000000000000200,0000000000010002,4,2,0
8000000000400000,0000000000010002,4,1,0
