q,r,body_hex,rank8_responders,rank9_responders,total_responders
256,592,07443401,698,9782,10480
256,592,07443408,300,7242,7542
256,592,07445081,1675,17317,18992
256,592,07465001,1070,13034,14104
256,592,07469400,1516,19713,21229
256,592,07503088,357,7560,7917
256,592,07503208,484,9370,9854
256,592,07506048,291,7327,7618
256,592,07523008,384,7625,8009
256,592,07541081,936,13940,14876
256,592,07542048,206,8187,8393
256,592,07561400,345,8379,8724
256,592,07642408,525,9167,9692
256,592,07702088,395,7952,8347
256,592,07742200,943,12608,13551
256,592,07760400,551,10559,11110
256,592,07762000,376,8235,8611
256,592,07843009,179,5060,5239
256,592,0784300c,525,10773,11298
256,592,07843028,549,12674,13223
256,592,07843108,550,12431,12981
256,592,07847008,195,5509,5704
256,592,0784b008,370,7945,8315
256,592,07943008,6,1286,1292
256,592,07a42009,284,5858,6142
256,592,07a46008,204,5482,5686
256,592,07b42008,9,1323,1332
256,592,07c43008,298,6572,6870
256,592,07d03008,132,4141,4273
256,592,07e42008,415,7565,7980
256,592,0c14b600,573,13652,14225
256,592,0c14f400,239,6585,6824
256,592,0c346401,137,3911,4048
256,592,0c346402,558,10379,10937
256,592,0c346404,579,10855,11434
256,592,0c346420,623,13553,14176
256,592,0c346500,612,12915,13527
256,592,0c346600,494,9573,10067
256,592,0c34e400,240,6693,6933
256,592,0c44f400,1260,14953,16213
256,592,0c70240a,1839,18545,20384
256,592,0c746400,250,6499,6749
256,592,0c94b400,439,10294,10733
256,592,0e047401,238,5189,5427
256,592,0e147400,128,3513,3641
256,592,0e147800,1438,16188,17626
256,592,0e342048,678,15220,15898
256,592,0e346008,126,5092,5218
256,592,0e346400,182,4604,4786
256,592,0e362400,450,11195,11645
256,592,0e447400,716,9663,10379
256,592,0e541600,1434,17853,19287
256,592,0e542401,146,6135,6281
256,592,0e542480,424,12223,12647
256,592,0e543008,304,7671,7975
256,592,0f047008,65,4003,4068
256,592,0f103401,310,4869,5179
256,592,0f141208,700,12247,12947
256,592,0f143008,22,2317,2339
256,592,0f143080,506,9375,9881
256,592,0f145200,970,12329,13299
256,592,0f147000,305,5227,5532
256,592,0f161400,655,12366,13021
256,592,0f246008,88,4125,4213
256,592,0f340208,1078,15434,16512
256,592,0f340600,962,14554,15516
256,592,0f342008,31,2975,3006
256,592,0f503008,318,6776,7094
256,592,0f702001,687,9841,10528
256,592,1014b608,1034,18194,19228
256,592,1015b401,996,18468,19464
256,592,1015b408,695,17190,17885
256,592,1030b608,1140,18842,19982
256,592,1031b408,763,17416,18179
256,592,1050bc08,501,17276,17777
256,592,1054b408,301,11168,11469
256,592,1058b408,383,12169,12552
256,592,1070b408,268,10818,11086
256,592,1110b608,432,11429,11861
256,592,11113409,346,10329,10675
256,592,1111b408,264,9912,10176
256,592,1130a488,1314,16018,17332
256,592,1131a408,417,11456,11873
256,592,11501588,2176,29334,31510
256,592,1150b408,199,8225,8424
256,592,11702428,734,16828,17562
256,592,11702508,692,15745,16437
256,592,1170a408,358,9984,10342
256,592,1172a400,1121,15348,16469
256,592,11d03408,187,6778,6965
256,592,12153401,434,10861,11295
256,592,12505680,1778,18876,20654
256,592,12507208,350,8595,8945
256,592,1250b408,141,7666,7807
256,592,1251a401,1916,24526,26442
256,592,1251a408,1655,24094,25749
256,592,12913048,1137,20692,21829
256,592,12913401,527,10010,10537
256,592,12913408,383,10324,10707
256,592,12917008,586,12309,12895
256,592,1291b008,874,16196,17070
256,592,13007a08,1168,18143,19311
256,592,13017048,1698,21903,23601
256,592,13017408,975,13204,14179
256,592,13107208,84,4403,4487
256,592,13116401,478,9447,9925
256,592,13116408,294,8328,8622
256,592,13152401,851,14273,15124
256,592,13512401,963,15220,16183
256,592,13903208,189,6784,6973
256,592,13912408,784,14133,14917
256,592,13913008,114,5347,5461
256,592,13d02408,648,11427,12075
256,592,1402f440,1303,17100,18403
256,592,1402f480,1062,14002,15064
256,592,1404f408,468,8489,8957
256,592,1406f400,711,10574,11285
256,592,14107405,59,3693,3752
256,592,14107409,18,1960,1978
256,592,1410740c,68,4467,4535
256,592,14107421,59,4208,4267
256,592,14107428,68,5065,5133
256,592,14107501,59,3903,3962
256,592,14107508,65,4556,4621
256,592,14107601,64,3658,3722
256,592,14107608,71,3971,4042
256,592,1410b448,47,6747,6794
256,592,1410b508,80,8656,8736
256,592,1410bc40,473,14593,15066
256,592,1410bd00,543,17646,18189
256,592,1410e405,482,9877,10359
256,592,1410e484,1008,16585,17593
256,592,1410f401,17,1838,1855
256,592,1410f402,360,7351,7711
256,592,1410f404,363,7950,8313
