mask_hex,rank,dual_numerator,in_retained_pool
201826c0,8,1269298266,0
20182e80,8,1269298266,0
20183086,8,1274878543,0
20183282,8,1274878543,0
20183284,8,1274878543,0
20186083,8,1265836757,0
20186085,8,1265836757,0
20186086,8,1265836757,0
2018844c,8,1352824814,0
20188c48,8,1340104836,0
2018a288,8,1987489000,0
2018a406,8,1269298266,0
2018a482,8,1269298266,0
2018a484,8,1269298266,0
2018a4c0,8,1269298266,0
2018a640,8,1269298266,0
2018a680,8,1269298266,0
2018b280,8,1274878543,0
20192680,8,1269298266,0
201c2086,8,2268596608,0
201c208a,8,1493393671,0
201c208c,8,1493393671,0
201c2284,8,2268596608,0
201c2288,8,1493393671,0
201c3006,8,1274878543,0
201c3082,8,1274878543,0
201c3084,8,1274878543,0
201c3204,8,1274878543,0
201c3280,8,1274878543,0
201c840a,8,1198834322,0
201c8448,8,1198834322,0
201c8488,8,1198834322,0
201c8608,8,1198834322,0
201ca084,8,2268596608,0
201ca088,8,1493393671,0
201ca201,8,1135285626,0
201ca280,8,2268596608,0
201cb004,8,1274878543,0
201cb080,8,1274878543,0
2028240e,8,1084061473,0
2028242c,8,1084061473,0
2028260a,8,1295740221,0
2028260c,8,1295740221,0
2028a40c,8,1084061473,0
2028a448,8,1084061473,0
2028a608,8,1295740221,0
20292608,8,1295740221,0
202a8448,8,1038192268,0
202c440c,8,1034011439,0
202c8448,8,1294802928,0
2038040e,8,1352824814,0
2038041a,8,1352824814,0
2038042c,8,1352824814,0
2038044a,8,1352824814,0
2038044c,8,1352824814,0
2038048a,8,1352824814,0
2038048c,8,1352824814,0
203804c8,8,1352824814,0
2038060a,8,1352824814,0
2038060c,8,1352824814,0
20380648,8,1352824814,0
20380688,8,1352824814,0
20382086,8,1978447214,0
2038208a,8,1478122820,0
20382282,8,1487813394,0
2038840a,8,1352824814,0
2038840c,8,1352824814,0
20388418,8,1352824814,0
20388428,8,1352824814,0
20388448,8,1352824814,0
20388488,8,1352824814,0
20388508,8,1352824814,0
20388608,8,1352824814,0
2038a082,8,1487813394,0
2038a280,8,1487813394,0
2038c440,8,1333007331,0
2039040a,8,1352824814,0
2039040c,8,1352824814,0
20390488,8,1352824814,0
20390608,8,1352824814,0
20398408,8,1352824814,0
203c2006,8,1353800754,0
203c4404,8,1257799621,0
203c8440,8,1455993780,0
20588448,8,1198834322,0
20590608,8,1198834322,0
20598408,8,1198834322,0
205c040a,8,1198834322,0
205c0488,8,1198834322,0
205c0608,8,1198834322,0
205c8408,8,1198834322,0
205d0408,8,1198834322,0
20688448,8,1474265711,0
206a040c,8,1073730596,0
206a0448,8,1073730596,0
206c040c,8,1330341256,0
206c0448,8,1330341256,0
2088240e,8,1330141010,0
20882486,8,1093476685,0
2088260a,8,1295740221,0
20888449,8,1206046670,0
2088a608,8,1295740221,0
20892608,8,1295740221,0
2090412c,8,1024845422,0
2098048a,8,1032394325,0
2098060a,8,1032394325,0
20980688,8,1032394325,0
20982282,8,1987489000,0
20982288,8,1987489000,0
2098840a,8,1032394325,0
20988448,8,1032394325,0
20988488,8,1032394325,0
20988608,8,1032394325,0
2098a280,8,1987489000,0
20990608,8,1032394325,0
209c2088,8,1493393671,0
209c2280,8,1493393671,0
209ca080,8,1493393671,0
20a8240a,8,1544972577,0
20a8240c,8,1084061473,0
20a82602,8,1295740221,0
20a82608,8,1295740221,0
20a8a408,8,1544972577,0
20b82088,8,1478122820,0
20b82202,8,1347571689,0
20b88440,8,1657626833,0
2108300e,8,1466510166,0
21083206,8,1466510166,0
2108320c,8,1466510166,0
210c2086,8,1083988611,0
210c3006,8,1466510166,0
210c300c,8,1466510166,0
210c3202,8,1466510166,0
210c3204,8,1466510166,0
210c3208,8,1466510166,0
210ca082,8,1083988611,0
210ca084,8,1083988611,0
210cb004,8,1466510166,0
210cb200,8,1466510166,0
21149088,8,1340104837,0
21182206,8,1360082689,0
21188406,8,1057312130,0
21188442,8,1397416967,0
21188444,8,1057312130,0
211884c0,8,1397416967,0
21188640,8,1397416967,0
21188c40,8,1397416967,0
2118a006,8,1360082689,0
2118a202,8,1360082689,0
211c1006,8,1333454323,0
211c2006,8,1360082689,0
211c2202,8,1360082689,0
211c2204,8,1360082689,0
211c2802,8,1360082689,0
