mask_hex,rank,active_rows
0230c40a,8,444
0254a0c0,8,444
03853080,8,444
04146444,8,444
04918203,8,444
04c430a0,8,444
051a0806,8,444
05880443,8,444
05a84110,8,444
060324c0,8,444
06308484,8,444
0664200c,8,444
07201890,8,444
07500902,8,444
0b700088,8,444
0c0b0481,8,444
0c514011,8,444
0ca01444,8,444
12a05210,8,444
12e05800,8,444
14c10019,8,444
16044a01,8,444
1a04a108,8,444
200c440e,8,444
20291680,8,444
20cca004,8,444
21b02101,8,444
220b1600,8,444
24122610,8,444
24212380,8,444
29205840,8,444
2a524800,8,444
301c0290,8,444
31c14004,8,444
36401028,8,444
38824108,8,444
00687801,8,445
01087308,8,445
0124110d,8,445
01a01740,8,445
01e1c200,8,445
0211ac08,8,445
03412888,8,445
04023285,8,445
040c2491,8,445
048d4102,8,445
049c8082,8,445
05101780,8,445
0550401a,8,445
07814804,8,445
09416210,8,445
0ac46100,8,445
0c143180,8,445
0c221380,8,445
0c3c8100,8,445
0d442410,8,445
10333200,8,445
1094c808,8,445
1140a2a0,8,445
1494002c,8,445
15104068,8,445
17022048,8,445
1ab01020,8,445
21042491,8,445
2128c082,8,445
22504e00,8,445
24281184,8,445
2818080d,8,445
2a2a1100,8,445
2c310202,8,445
2e680001,8,445
0010560d,8,446
00528449,8,446
0140628a,8,446
01425608,8,446
01a93008,8,446
04436005,8,446
045118c0,8,446
05094620,8,446
050c041c,8,446
05490310,8,446
05602901,8,446
0630410a,8,446
06b22200,8,446
0b205060,8,446
0c418c08,8,446
0c8222c0,8,446
0e13000a,8,446
0e902a00,8,446
0eb00a00,8,446
110c4203,8,446
1812900c,8,446
20087013,8,446
20583022,8,446
20e94400,8,446
21432202,8,446
22028c88,8,446
234a1200,8,446
240c420a,8,446
24182015,8,446
25030428,8,446
28ac2080,8,446
2a282802,8,446
2e8c0004,8,446
30c92400,8,446
310b2400,8,446
31106042,8,446
39094200,8,446
3a082404,8,446
01125818,8,447
01341150,8,447
01475200,8,447
01985110,8,447
02109c0c,8,447
02946104,8,447
04394028,8,447
04493006,8,447
04652808,8,447
04a24508,8,447
0540848c,8,447
0548c240,8,447
05822086,8,447
060a4680,8,447
0681c005,8,447
06a48081,8,447
07080415,8,447
09221803,8,447
0a388840,8,447
0aa29001,8,447
0b10a210,8,447
0b198200,8,447
0ea48002,8,447
0f008205,8,447
0f048041,8,447
0f80200a,8,447
1002c289,8,447
103810c8,8,447
12109083,8,447
14082189,8,447
15244030,8,447
1600a428,8,447
16100e04,8,447
171a0100,8,447
19802481,8,447
19848201,8,447
201d4081,8,447
2110808d,8,447
2210a301,8,447
23308802,8,447
2c450280,8,447
32120601,8,447
34902180,8,447
00496488,8,448
01107d00,8,448
01129211,8,448
01499600,8,448
01692210,8,448
0228108d,8,448
034228c0,8,448
0458a00a,8,448
04883640,8,448
0489e040,8,448
04e11060,8,448
04f60008,8,448
05222882,8,448
05580206,8,448
060d0508,8,448
06148520,8,448
062014d0,8,448
06340821,8,448
07041803,8,448
0720c102,8,448
092a20a0,8,448
0a904608,8,448
0c243024,8,448
0d2e0040,8,448
0e2c000a,8,448
0e740002,8,448
11479000,8,448
1264200a,8,448
13602006,8,448
14043504,8,448
14103301,8,448
14a23100,8,448
15005111,8,448
16224088,8,448
19203420,8,448
200e22c0,8,448
2211040b,8,448
2295a000,8,448
22c26004,8,448
23001690,8,448
2408304c,8,448
24505060,8,448
25118048,8,448
25211120,8,448
2611c040,8,448
300c2444,8,448
30482881,8,448
31182140,8,448
33441100,8,448
36019002,8,448
009a2288,8,449
010c7101,8,449
02886448,8,449
02a83102,8,449
0318a028,8,449
032a1006,8,449
03322240,8,449
03980450,8,449
04605070,8,449
04805628,8,449
04a61208,8,449
04b21110,8,449
05811211,8,449
05a01a08,8,449
082a5050,8,449
0af11000,8,449
0c272080,8,449
0c340608,8,449
0d40c00c,8,449
10163011,8,449
10d04428,8,449
110624a0,8,449
11482049,8,449
14104588,8,449
20817420,8,449
20b64001,8,449
20d94100,8,449
21604c08,8,449
