a_hex	b_hex	cover	count	least_mask	labels
0000000240000000	0000000000010000	3	3	2000a689	0,3,7,9,10,13,15,29
0000000240000000	0000000010000000	3	4	20242609	0,3,9,10,13,18,21,29
0000000240000000	0000000020428000	6	1	2020a449	0,3,6,10,13,15,21,29
0000000240000000	0000000020438000	7	1	2040a609	0,3,9,10,13,15,22,29
0000000240000000	00000000204a8000	7	1	2000a649	0,3,6,9,10,13,15,29
0000000250000000	0000000000000000	3	13	2024248a	1,3,7,10,13,18,21,29
0000000250000000	0000000010000000	4	1	28642408	3,10,13,18,21,22,27,29
0000000250100200	0000000000000000	5	8	2020a4c8	3,6,7,10,13,15,21,29
0000000260000000	0000000000000000	3	2	2004a4c1	0,6,7,10,13,15,18,29
0000000268080000	0000000000000000	5	1	20648441	0,6,10,15,18,21,22,29
0000000270000000	0000000000000000	4	2	2024a4c0	6,7,10,13,15,18,21,29
0000000278080000	0000000000000000	6	1	206484c0	6,7,10,15,18,21,22,29
0000000350000000	0000000000000000	4	6	2004a4c8	3,6,7,10,13,15,18,29
0000000350110200	0000000000000000	7	1	2040a4c8	3,6,7,10,13,15,22,29
0000000370000000	0000000000000000	5	2	2004a6c0	6,7,9,10,13,15,18,29
00000003f280c000	0000000000000000	10	1	2844a880	7,11,13,15,18,22,27,29
0000000400000000	0000000000000000	1	144	040aa288	3,7,9,13,15,17,19,26
0000000400115240	0000000000000000	7	1	1842a088	3,7,13,15,17,22,27,28
0000000800000000	0000000000000000	1	36	14032281	0,7,9,13,16,17,26,28
0000000c00000000	0000000000000000	2	89	1403a280	7,9,13,15,16,17,26,28
0000001000000000	0000000000000000	1	522	0400b4c1	0,6,7,10,12,13,15,26
0000001002000000	0000000000000000	2	6	04413a80	7,9,11,12,13,16,22,26
0000001800000000	0000000000000000	2	17	1401a281	0,7,9,13,15,16,26,28
0000001c00000000	0000000000000000	3	32	14092282	1,7,9,13,16,19,26,28
0000002000000000	0000000000000000	1	853	0204101f	0,1,2,3,4,12,18,25
0000002000000001	0000000000000000	2	2	12c03006	1,2,12,13,22,23,25,28
0000002000000002	0000000000000000	2	54	12841007	0,1,2,12,18,23,25,28
0000002000000008	0000000000000000	2	5	12083083	0,1,7,12,13,19,25,28
0000002000000012	0000000000000000	3	24	12041017	0,1,2,4,12,18,25,28
0000002000004000	0000000000000000	2	3	10443288	3,7,9,12,13,18,22,28
0000002000008800	0000000000000000	3	4	10443007	0,1,2,12,13,18,22,28
000000200000c800	0000000000000000	4	5	10443086	1,2,7,12,13,18,22,28
0000004000000000	0000000000000000	1	656	001e208a	1,3,7,13,17,18,19,20
0000004000000800	0000000000000000	2	54	10542086	1,2,7,13,18,20,22,28
0000004000001040	0000000000000000	3	1	18522088	3,7,13,17,20,22,27,28
00000040000018c1	0000000000000000	6	1	18d22080	7,13,17,20,22,23,27,28
0000004000004000	0000000000000000	2	10	1046208c	2,3,7,13,17,18,22,28
0000004000004020	0000000000000000	3	1	18460888	3,7,11,17,18,22,27,28
000000400000c800	0000000000000000	4	5	10c62082	1,7,13,17,18,22,23,28
0000004080000000	0000000000000000	2	2	00d62088	3,7,13,17,18,20,22,23
0000004080000800	0000000000000000	3	1	08d62080	7,13,17,18,20,22,23,27
0000004080001040	0000000000000000	4	1	08d22088	3,7,13,17,20,22,23,27
00000040800018c1	0000000000000000	7	2	08d22280	7,9,13,17,20,22,23,27
0000004400000000	0000000000000000	2	2	08ca2088	3,7,13,17,19,22,23,27
0000004400015240	0000000000000000	7	1	18c22088	3,7,13,17,22,23,27,28
0000004400100240	0000000000000000	5	1	18622088	3,7,13,17,21,22,27,28
0000004400115240	0000000000000000	8	2	18422288	3,7,9,13,17,22,27,28
0000006000000000	0000000000000000	2	10	104c208a	1,3,7,13,18,19,22,28
0000006000004000	0000000000000000	3	1	18442888	3,7,11,13,18,22,27,28
000000600000c800	0000000000000000	5	1	18c42880	7,11,13,18,22,23,27,28
0000008000000000	0000000000000000	1	12	108a84c0	6,7,10,15,17,19,23,28
0000008000000700	0000000000000000	4	1	10e084c0	6,7,10,15,21,22,23,28
0000008000010600	0000000000000000	4	2	1082a4c0	6,7,10,13,15,17,23,28
0000008c0001d6c0	0000000000000000	11	1	18c2a080	7,13,15,17,22,23,27,28
0000010000000000	0000000000000000	1	846	008047a4	2,5,7,8,9,10,14,23
0000010000000000	0000000000000200	2	1	10804487	0,1,2,7,10,14,23,28
0000010000000000	0000000000000400	2	2	10c044c4	2,6,7,10,14,22,23,28
0000010000000000	0000000400000000	2	4	08c86440	6,10,13,14,19,22,23,27
0000010000000000	0000000400008000	3	9	10c06444	2,6,10,13,14,22,23,28
0000010000000000	0000000400080000	3	1	18886440	6,10,13,14,19,23,27,28
0000010000000000	0000000430008000	5	8	08c06441	0,6,10,13,14,22,23,27
0000010000000000	0000000600000000	3	9	00c86604	2,9,10,13,14,19,22,23
0000010000000000	0000000600008000	4	8	10c06203	0,1,9,13,14,22,23,28
0000018000000000	0000000000000000	2	8	108a2481	0,7,10,13,17,19,23,28
0000018000010600	0000000000000000	5	2	10c22680	7,9,10,13,17,22,23,28
000001cc00000000	0000000000000000	5	1	18ca2080	7,13,17,19,22,23,27,28
