SINGLETON_IDEAL_AGGREGATE_V1
UNIVERSE LIVE 22647 SINGLETON_GROUPS 192 SINGLETON_ROWS 3738
SUCCESS_GROUPS 110 SUCCESS_ROWS 1219 DISJOINT YES
SUCCESS_UNION FNV 3706723fd3574334 SHA256 fdef599768aba3cc1738e330f35c9b431486ab845023ef59050c546f22605ef1 MAX_ENDPOINT 626
REMAINING COUNT 21428 FNV ab885eb54c33882a SHA256 e0b6bb5ac69acd3e9fd9f56957257affe247cf6debf2778bb0ad6fda4511d989 MAX_ENDPOINT 636
REMAINING_TOP 100,636 256,636 294,636 338,636 372,636 384,636
WITNESS_LEDGER ROWS 110 SHA256 e914b3f60477a7bc4637064b8b5c53117d40a05f38e38a4461b1525d5502aa07
NODE J 234 ROWS 3 IDEAL_FNV 9ec2f8e80db23ee3 OLD 24908c40 OBLIGATIONS 8 OBLIGATION_FNV cc46f610b0215270 RESPONDERS 1287 COMMON 21 WITNESS 0490a602 WEAKEST 22,531 GAP 857017898777/538114202786160 MARGIN_FNV 52e5d88c939ffe65 REBUILT_FNV 918448deb21ce6ba
NODE J 249 ROWS 3 IDEAL_FNV aa1b169be4b84bde OLD 18324404 OBLIGATIONS 2 OBLIGATION_FNV 3daeb0be87f60187 RESPONDERS 24310 COMMON 1073 WITNESS 003041a5 WEAKEST 64,507 GAP 807662029/23713507241424 MARGIN_FNV f8b2b729effac684 REBUILT_FNV c4e65d18959ee48e
NODE J 269 ROWS 3 IDEAL_FNV 6f9be31f8175c203 OLD 1844c804 OBLIGATIONS 9 OBLIGATION_FNV b66127cd9f3936f2 RESPONDERS 3003 COMMON 5 WITNESS 18048125 WEAKEST 107,186 GAP 97880308297/332450141672880 MARGIN_FNV 687982276ca2cf3c REBUILT_FNV 76d9274830ec25bc
NODE J 281 ROWS 3 IDEAL_FNV 3f957db0c793ea51 OLD 2b420880 OBLIGATIONS 4 OBLIGATION_FNV 5881dd500e71d716 RESPONDERS 3003 COMMON 104 WITNESS 03451090 WEAKEST 28,246 GAP 209585879/129168831792 MARGIN_FNV ef2a3f617a0098d3 REBUILT_FNV 42c33c5cb9585981
NODE J 300 ROWS 3 IDEAL_FNV 3da8fe1179c6e63 OLD 20a09640 OBLIGATIONS 4 OBLIGATION_FNV dde222dafab170b RESPONDERS 6435 COMMON 224 WITNESS 02009d50 WEAKEST 294,547 GAP 15988305754/28346347161405 MARGIN_FNV 95eedae618f1a8a REBUILT_FNV a597e282439e6915
NODE J 313 ROWS 3 IDEAL_FNV 956841b075e687c OLD 01e44140 OBLIGATIONS 17 OBLIGATION_FNV d047e9d9c88bec2e RESPONDERS 165 COMMON 29 WITNESS 01646050 WEAKEST 280,306 GAP 2390567/3635145360 MARGIN_FNV d7e0d673329522ec REBUILT_FNV 714232bb0c0ef199
NODE J 321 ROWS 3 IDEAL_FNV ece67e15e287ca0b OLD 0b2c0088 OBLIGATIONS 5 OBLIGATION_FNV e6ddaf0ee241d450 RESPONDERS 6435 COMMON 4 WITNESS 032c000e WEAKEST 54,384 GAP 291249857/567082676160 MARGIN_FNV d36d5fc330169b42 REBUILT_FNV 3626d8803eed5544
NODE J 365 ROWS 3 IDEAL_FNV 950161c50b57ad20 OLD 00a0268a OBLIGATIONS 1 OBLIGATION_FNV bce189549fc059d4 RESPONDERS 203490 COMMON 47220 WITNESS 00017688 WEAKEST 169,433 GAP 21422567955319/5133974317768296 MARGIN_FNV d0270ade25d379a6 REBUILT_FNV d29dcb8a0ae35fd9
NODE J 372 ROWS 3 IDEAL_FNV 50e8c93ff26a6022 OLD 14250203 OBLIGATIONS 2 OBLIGATION_FNV 5bb1afc7aabf4047 RESPONDERS 24310 COMMON 6321 WITNESS 00262213 WEAKEST 108,204 GAP 31064435033/27361739124720 MARGIN_FNV d443f3cc70009fa4 REBUILT_FNV 36cea66785e9e785
NODE J 386 ROWS 3 IDEAL_FNV bb7ea50e303673f5 OLD 27204804 OBLIGATIONS 8 OBLIGATION_FNV 45f60a96313cb403 RESPONDERS 45 COMMON 13 WITNESS 07206014 WEAKEST 231,550 GAP 50104622/14767778025 MARGIN_FNV 72d2d0cf42379c7c REBUILT_FNV 9f9df04566ebcfd2
NODE J 40 ROWS 2 IDEAL_FNV 4a83c1f5c856224a OLD 0a204449 OBLIGATIONS 9 OBLIGATION_FNV c9f709bf15e6d0dd RESPONDERS 6435 COMMON 116 WITNESS 0001660d WEAKEST 93,310 GAP 11347037281/31415330106160 MARGIN_FNV 3b58d95f0789a910 REBUILT_FNV 8741747de2e42737
NODE J 59 ROWS 2 IDEAL_FNV 26a4cd8e9915de72 OLD 080a2a0c OBLIGATIONS 13 OBLIGATION_FNV 76795aec7bcb3447 RESPONDERS 45 COMMON 12 WITNESS 09022a0c WEAKEST 66,366 GAP 42768587/120111261270 MARGIN_FNV ac732dacb1bfcd27 REBUILT_FNV 5a531745a161576d
NODE J 77 ROWS 2 IDEAL_FNV 5e0f93f495d5b890 OLD 05800683 OBLIGATIONS 3 OBLIGATION_FNV b7d5d5f8d3229e8d RESPONDERS 75582 COMMON 10088 WITNESS 00003297 WEAKEST 92,152 GAP 97785396263/209773333289520 MARGIN_FNV 22274dde54f21a88 REBUILT_FNV d3dc89088a757365
NODE J 83 ROWS 2 IDEAL_FNV a63c1fec06643764 OLD 30026601 OBLIGATIONS 9 OBLIGATION_FNV 7818ba6c266144a0 RESPONDERS 1287 COMMON 25 WITNESS 12026601 WEAKEST 140,232 GAP 103986529/101339774536 MARGIN_FNV 323a5fc3869b5de3 REBUILT_FNV 6a1bf1454b9c8134
NODE J 124 ROWS 2 IDEAL_FNV 89876afd0ae2cd03 OLD 01b04124 OBLIGATIONS 5 OBLIGATION_FNV fa49710f6ee5c281 RESPONDERS 3003 COMMON 501 WITNESS 00b06124 WEAKEST 52,83 GAP 11542294411/39842532409680 MARGIN_FNV 89dcd5d6c838c3f2 REBUILT_FNV 41945b11bfe735c9
NODE J 125 ROWS 2 IDEAL_FNV afe849b43b6b51e8 OLD 002884c9 OBLIGATIONS 1 OBLIGATION_FNV 45ed7ce5710cbd11 RESPONDERS 203490 COMMON 55948 WITNESS 0000229f WEAKEST 308,512 GAP 56879095787/97286183554560 MARGIN_FNV c6308cb2f12503cd REBUILT_FNV 3c5a623886e313f2
NODE J 184 ROWS 2 IDEAL_FNV 9dda14bd4d1e3b52 OLD 00662680 OBLIGATIONS 7 OBLIGATION_FNV 1c47ce0a29e0be05 RESPONDERS 3003 COMMON 1 WITNESS 00642292 WEAKEST 188,270 GAP 24246077825/85733449257456 MARGIN_FNV a424f81ef38639f4 REBUILT_FNV 86f9288d40d824e6
NODE J 206 ROWS 2 IDEAL_FNV c3a146a442326d66 OLD 014a8809 OBLIGATIONS 1 OBLIGATION_FNV 16b2299a2ffb969a RESPONDERS 203490 COMMON 58995 WITNESS 0000c327 WEAKEST 33,140 GAP 2054501819/3040193236080 MARGIN_FNV d75313d7bdff6e63 REBUILT_FNV df3b0097cb74b10c
NODE J 229 ROWS 2 IDEAL_FNV cfdd75965b6b504d OLD 0b044881 OBLIGATIONS 8 OBLIGATION_FNV 6d729c7cd4ef7b0 RESPONDERS 6435 COMMON 150 WITNESS 01040ec1 WEAKEST 370,495 GAP 2420071/24284790530 MARGIN_FNV 9c3865f5373ea522 REBUILT_FNV fca295ee1c8ed7c2
NODE J 240 ROWS 2 IDEAL_FNV 8deda41fb68e20ed OLD 002490c9 OBLIGATIONS 7 OBLIGATION_FNV 36e6d326a3ef8fac RESPONDERS 1287 COMMON 1 WITNESS 20249089 WEAKEST 178,366 GAP 263360457253/182042747191305 MARGIN_FNV 4ca0192cba4aa4de REBUILT_FNV ab2714dde1897cbe
NODE J 266 ROWS 2 IDEAL_FNV f227b42d61837bf4 OLD 22360081 OBLIGATIONS 4 OBLIGATION_FNV 7232da93ccd192ed RESPONDERS 3003 COMMON 2 WITNESS 22340083 WEAKEST 31,67 GAP 943547504583/2104827117112720 MARGIN_FNV 1fe2838dde1f4b4c REBUILT_FNV 2371d1d9216f94a
NODE J 280 ROWS 2 IDEAL_FNV ae0207de36260c36 OLD 2140448c OBLIGATIONS 8 OBLIGATION_FNV 6f7928e23f6355fb RESPONDERS 3003 COMMON 641 WITNESS 00406c8c WEAKEST 83,258 GAP 51399052405/74830687307376 MARGIN_FNV 4d16691eae036d1d REBUILT_FNV 9b9dae30be7aac5
NODE J 285 ROWS 2 IDEAL_FNV 402786dddae60a3 OLD 1380020b OBLIGATIONS 5 OBLIGATION_FNV 5fa02df6bc9c0f68 RESPONDERS 1287 COMMON 45 WITNESS 0380201b WEAKEST 172,514 GAP 126303264233/522235887853680 MARGIN_FNV 322d68e9980490a9 REBUILT_FNV 399cb57b0de66a84
